month,bucket,n,target,stop
2025-01,"(0.0, 30.0]",5174,129,2094
2025-01,"(30.0, 40.0]",444,45,275
2025-01,"(40.0, 50.0]",132,12,97
2025-01,"(50.0, 1000000000.0]",50,14,33
2025-02,"(0.0, 30.0]",4219,162,2026
2025-02,"(30.0, 40.0]",599,48,407
2025-02,"(40.0, 50.0]",259,43,169
2025-02,"(50.0, 1000000000.0]",193,39,140
2025-03,"(0.0, 30.0]",4558,167,2070
2025-03,"(30.0, 40.0]",670,74,429
2025-03,"(40.0, 50.0]",246,39,172
2025-03,"(50.0, 1000000000.0]",104,29,63
2025-04,"(0.0, 30.0]",1236,127,780
2025-04,"(30.0, 40.0]",1422,214,967
2025-04,"(40.0, 50.0]",1005,179,742
2025-04,"(50.0, 1000000000.0]",1891,410,1436
2025-05,"(0.0, 30.0]",1985,198,1186
2025-05,"(30.0, 40.0]",1677,210,1155
2025-05,"(40.0, 50.0]",983,158,717
2025-05,"(50.0, 1000000000.0]",1131,199,901
2025-06,"(0.0, 30.0]",3196,176,1861
2025-06,"(30.0, 40.0]",1374,159,939
2025-06,"(40.0, 50.0]",537,77,386
2025-06,"(50.0, 1000000000.0]",441,73,330
2025-07,"(0.0, 30.0]",5017,181,2550
2025-07,"(30.0, 40.0]",646,45,465
2025-07,"(40.0, 50.0]",247,48,156
2025-07,"(50.0, 1000000000.0]",126,18,88
2025-08,"(0.0, 30.0]",4595,201,2135
2025-08,"(30.0, 40.0]",614,85,380
2025-08,"(40.0, 50.0]",170,27,110
2025-08,"(50.0, 1000000000.0]",175,35,128
2025-09,"(0.0, 30.0]",3631,288,1959
2025-09,"(30.0, 40.0]",1246,143,814
2025-09,"(40.0, 50.0]",467,67,322
2025-09,"(50.0, 1000000000.0]",445,94,318
2025-10,"(0.0, 30.0]",583,71,344
2025-10,"(30.0, 40.0]",945,170,603
2025-10,"(40.0, 50.0]",1078,183,802
2025-10,"(50.0, 1000000000.0]",3465,660,2745
2025-11,"(0.0, 30.0]",543,57,343
2025-11,"(30.0, 40.0]",1290,243,850
2025-11,"(40.0, 50.0]",1268,213,947
2025-11,"(50.0, 1000000000.0]",2009,416,1545
2025-12,"(0.0, 30.0]",1458,145,951
2025-12,"(30.0, 40.0]",1517,206,1036
2025-12,"(40.0, 50.0]",1187,177,879
2025-12,"(50.0, 1000000000.0]",1617,328,1249
2026-01,"(0.0, 30.0]",382,54,258
2026-01,"(30.0, 40.0]",1167,180,838
2026-01,"(40.0, 50.0]",983,153,744
2026-01,"(50.0, 1000000000.0]",3003,636,2316
2026-02,"(0.0, 30.0]",14,7,7
2026-02,"(30.0, 40.0]",307,71,213
2026-02,"(40.0, 50.0]",696,132,520
2026-02,"(50.0, 1000000000.0]",4227,795,3396
2026-03,"(0.0, 30.0]",24,7,14
2026-03,"(30.0, 40.0]",225,20,182
2026-03,"(40.0, 50.0]",421,64,332
2026-03,"(50.0, 1000000000.0]",5173,1000,4150
2026-04,"(0.0, 30.0]",253,35,173
2026-04,"(30.0, 40.0]",806,95,622
2026-04,"(40.0, 50.0]",1051,224,758
2026-04,"(50.0, 1000000000.0]",3444,690,2712
2026-05,"(0.0, 30.0]",355,49,240
2026-05,"(30.0, 40.0]",1002,162,731
2026-05,"(40.0, 50.0]",1385,259,1036
2026-05,"(50.0, 1000000000.0]",2782,551,2184
2026-06,"(0.0, 30.0]",337,16,264
2026-06,"(30.0, 40.0]",865,137,638
2026-06,"(40.0, 50.0]",1326,218,1021
2026-06,"(50.0, 1000000000.0]",3243,639,2567
2026-07,"(0.0, 30.0]",1013,100,721
2026-07,"(30.0, 40.0]",1693,229,1263
2026-07,"(40.0, 50.0]",1413,235,1072
2026-07,"(50.0, 1000000000.0]",1904,424,1427
