month,bucket,n,target,stop
2025-01,"(0.0, 30.0]",5174,161,2202
2025-01,"(30.0, 40.0]",444,35,312
2025-01,"(40.0, 50.0]",132,18,85
2025-01,"(50.0, 1000000000.0]",50,10,36
2025-02,"(0.0, 30.0]",4219,223,2131
2025-02,"(30.0, 40.0]",599,100,395
2025-02,"(40.0, 50.0]",259,37,199
2025-02,"(50.0, 1000000000.0]",193,35,148
2025-03,"(0.0, 30.0]",4558,189,2264
2025-03,"(30.0, 40.0]",670,80,452
2025-03,"(40.0, 50.0]",246,30,185
2025-03,"(50.0, 1000000000.0]",104,13,86
2025-04,"(0.0, 30.0]",1236,148,735
2025-04,"(30.0, 40.0]",1422,221,1025
2025-04,"(40.0, 50.0]",1005,187,741
2025-04,"(50.0, 1000000000.0]",1891,379,1470
2025-05,"(0.0, 30.0]",1985,167,1246
2025-05,"(30.0, 40.0]",1677,229,1197
2025-05,"(40.0, 50.0]",983,202,697
2025-05,"(50.0, 1000000000.0]",1131,235,868
2025-06,"(0.0, 30.0]",3196,269,1755
2025-06,"(30.0, 40.0]",1374,188,918
2025-06,"(40.0, 50.0]",537,97,389
2025-06,"(50.0, 1000000000.0]",441,94,317
2025-07,"(0.0, 30.0]",5017,199,2436
2025-07,"(30.0, 40.0]",646,104,408
2025-07,"(40.0, 50.0]",247,34,182
2025-07,"(50.0, 1000000000.0]",126,17,99
2025-08,"(0.0, 30.0]",4595,191,2037
2025-08,"(30.0, 40.0]",614,64,434
2025-08,"(40.0, 50.0]",170,24,124
2025-08,"(50.0, 1000000000.0]",175,39,126
2025-09,"(0.0, 30.0]",3631,206,2039
2025-09,"(30.0, 40.0]",1246,138,877
2025-09,"(40.0, 50.0]",467,68,361
2025-09,"(50.0, 1000000000.0]",445,63,356
2025-10,"(0.0, 30.0]",583,60,399
2025-10,"(30.0, 40.0]",945,155,682
2025-10,"(40.0, 50.0]",1078,202,805
2025-10,"(50.0, 1000000000.0]",3465,758,2658
2025-11,"(0.0, 30.0]",543,46,344
2025-11,"(30.0, 40.0]",1290,199,953
2025-11,"(40.0, 50.0]",1268,205,960
2025-11,"(50.0, 1000000000.0]",2009,438,1527
2025-12,"(0.0, 30.0]",1458,173,911
2025-12,"(30.0, 40.0]",1517,210,1075
2025-12,"(40.0, 50.0]",1187,216,845
2025-12,"(50.0, 1000000000.0]",1617,302,1285
2026-01,"(0.0, 30.0]",382,56,263
2026-01,"(30.0, 40.0]",1167,185,824
2026-01,"(40.0, 50.0]",983,175,730
2026-01,"(50.0, 1000000000.0]",3003,507,2460
2026-02,"(0.0, 30.0]",14,0,13
2026-02,"(30.0, 40.0]",307,54,235
2026-02,"(40.0, 50.0]",696,149,514
2026-02,"(50.0, 1000000000.0]",4227,801,3385
2026-03,"(0.0, 30.0]",24,5,18
2026-03,"(30.0, 40.0]",225,53,149
2026-03,"(40.0, 50.0]",421,96,307
2026-03,"(50.0, 1000000000.0]",5173,1079,4073
2026-04,"(0.0, 30.0]",253,43,155
2026-04,"(30.0, 40.0]",806,144,549
2026-04,"(40.0, 50.0]",1051,182,810
2026-04,"(50.0, 1000000000.0]",3444,702,2706
2026-05,"(0.0, 30.0]",355,46,246
2026-05,"(30.0, 40.0]",1002,212,677
2026-05,"(40.0, 50.0]",1385,285,1017
2026-05,"(50.0, 1000000000.0]",2782,632,2104
2026-06,"(0.0, 30.0]",337,67,180
2026-06,"(30.0, 40.0]",865,152,606
2026-06,"(40.0, 50.0]",1326,260,984
2026-06,"(50.0, 1000000000.0]",3243,689,2510
2026-07,"(0.0, 30.0]",1013,101,653
2026-07,"(30.0, 40.0]",1693,280,1141
2026-07,"(40.0, 50.0]",1413,316,984
2026-07,"(50.0, 1000000000.0]",1904,379,1490
