price,buy_vol,sell_vol,total_vol,trades,delta,dominant
4071.9,1,0,1,1,1,buy
4071.8,1,0,1,1,1,buy
4071.4,1,1,2,2,0,flat
4071.3,1,0,1,1,1,buy
4071.0,3,6,9,5,-3,sell
4070.8,2,2,4,3,0,flat
4070.7,4,1,5,5,3,buy
4070.6,5,2,7,7,3,buy
4070.5,1,2,6,3,-1,sell
4070.4,2,0,2,2,2,buy
4070.3,4,3,7,7,1,buy
4070.2,0,2,2,2,-2,sell
4070.1,1,6,7,5,-5,sell
4070.0,4,4,8,7,0,flat
4069.9,6,4,10,9,2,buy
4069.8,3,1,4,4,2,buy
4069.7,4,0,4,4,4,buy
4069.6,14,6,20,16,8,buy
4069.5,18,8,26,15,10,buy
4069.4,9,13,23,21,-4,sell
4069.3,18,12,30,20,6,buy
4069.2,9,13,22,18,-4,sell
4069.1,6,13,19,16,-7,sell
4069.0,6,17,23,22,-11,sell
4068.9,10,16,26,22,-6,sell
4068.8,4,33,37,23,-29,sell
4068.7,4,11,15,14,-7,sell
4068.6,8,8,16,9,0,flat
4068.5,1,7,8,7,-6,sell
4068.4,4,4,8,8,0,flat
4068.3,7,5,12,11,2,buy
4068.2,6,7,14,14,-1,sell
4068.1,4,7,11,10,-3,sell
4068.0,81,7,89,36,74,buy
4067.9,19,10,30,24,9,buy
4067.8,15,32,49,34,-17,sell
4067.7,5,7,18,13,-2,sell
4067.6,9,29,38,28,-20,sell
4067.5,5,16,21,17,-11,sell
4067.4,12,21,34,32,-9,sell
4067.3,7,6,13,11,1,buy
4067.2,12,13,25,20,-1,sell
4067.1,6,21,27,22,-15,sell
4067.0,75,23,98,46,52,buy
4066.9,20,12,32,27,8,buy
4066.8,20,19,41,38,1,buy
4066.7,14,21,35,27,-7,sell
4066.6,25,34,59,51,-9,sell
4066.5,61,31,93,67,30,buy
4066.4,32,30,62,54,2,buy
4066.3,36,50,87,67,-14,sell
4066.2,76,48,125,74,28,buy
4066.1,49,65,117,85,-16,sell
4066.0,66,44,111,94,22,buy
4065.9,22,40,62,57,-18,sell
4065.8,41,47,88,74,-6,sell
4065.7,42,37,79,60,5,buy
4065.6,29,36,67,60,-7,sell
4065.5,51,83,135,84,-32,sell
4065.4,64,27,91,61,37,buy
4065.3,182,53,235,94,129,buy
4065.2,47,48,95,73,-1,sell
4065.1,27,59,86,71,-32,sell
4065.0,62,49,116,88,13,buy
4064.9,45,45,90,72,0,flat
4064.8,43,42,95,56,1,buy
4064.7,33,53,87,64,-20,sell
4064.6,30,30,60,54,0,flat
4064.5,53,55,108,86,-2,sell
4064.4,45,35,80,68,10,buy
4064.3,33,52,85,67,-19,sell
4064.2,45,53,98,74,-8,sell
4064.1,25,55,80,57,-30,sell
4064.0,54,60,114,83,-6,sell
4063.9,29,18,47,42,11,buy
4063.8,22,30,52,50,-8,sell
4063.7,21,33,55,50,-12,sell
4063.6,16,16,32,29,0,flat
4063.5,23,22,46,37,1,buy
4063.4,20,25,45,40,-5,sell
4063.3,25,38,63,41,-13,sell
4063.2,18,27,45,35,-9,sell
4063.1,15,30,47,40,-15,sell
4063.0,55,28,83,45,27,buy
4062.9,36,26,62,54,10,buy
4062.8,21,20,41,34,1,buy
4062.7,41,37,78,53,4,buy
4062.6,19,38,58,49,-19,sell
4062.5,60,36,97,64,24,buy
4062.4,7,14,22,19,-7,sell
4062.3,18,26,44,36,-8,sell
4062.2,27,21,48,42,6,buy
4062.1,21,22,43,34,-1,sell
4062.0,20,46,70,47,-26,sell
4061.9,20,17,37,27,3,buy
4061.8,13,18,31,26,-5,sell
4061.7,10,13,23,17,-3,sell
4061.6,5,7,12,10,-2,sell
4061.5,8,6,14,12,2,buy
4061.4,11,10,21,18,1,buy
4061.3,7,10,17,13,-3,sell
4061.2,5,14,19,18,-9,sell
4061.1,11,9,20,17,2,buy
4061.0,7,11,18,14,-4,sell
4060.9,6,12,18,17,-6,sell
4060.8,8,16,24,23,-8,sell
4060.7,7,12,19,15,-5,sell
4060.6,4,15,19,13,-11,sell
4060.5,2,19,21,12,-17,sell
4060.4,7,8,15,11,-1,sell
4060.3,0,2,2,2,-2,sell
4060.2,2,3,5,4,-1,sell
4060.1,4,8,12,9,-4,sell
4060.0,1,5,6,3,-4,sell
4059.9,0,1,1,1,-1,sell
4059.8,2,2,4,4,0,flat
4059.7,0,3,3,2,-3,sell
4059.6,2,7,9,5,-5,sell
4059.5,1,0,1,1,1,buy
4059.4,1,4,5,4,-3,sell
4059.3,2,6,8,6,-4,sell
4059.2,0,4,4,4,-4,sell
4059.1,1,7,8,4,-6,sell
4059.0,5,7,12,10,-2,sell
4058.9,0,1,1,1,-1,sell
4058.8,0,2,2,2,-2,sell
4058.7,0,2,2,2,-2,sell
4058.6,1,0,1,1,1,buy
4058.5,6,2,8,5,4,buy
4058.4,3,2,5,2,1,buy
4058.3,5,0,5,3,5,buy
4058.2,7,3,10,7,4,buy
4058.1,9,8,17,13,1,buy
4058.0,11,3,14,10,8,buy
4057.9,10,5,16,13,5,buy
4057.8,6,9,15,13,-3,sell
4057.7,8,6,14,10,2,buy
4057.6,7,9,16,14,-2,sell
4057.5,4,7,11,7,-3,sell
4057.4,3,2,5,5,1,buy
4057.3,5,2,7,4,3,buy
4057.2,2,4,8,6,-2,sell
4057.1,3,5,8,6,-2,sell
4057.0,1,7,8,8,-6,sell
4056.9,1,13,14,9,-12,sell
4056.8,1,2,3,3,-1,sell
4056.7,4,2,6,4,2,buy
4056.6,5,8,13,9,-3,sell
4056.5,7,10,17,11,-3,sell
4056.4,5,11,16,11,-6,sell
4056.3,4,9,13,11,-5,sell
4056.2,3,7,10,10,-4,sell
4056.1,8,4,12,11,4,buy
4056.0,7,15,22,18,-8,sell
4055.9,5,11,16,13,-6,sell
4055.8,5,13,18,9,-8,sell
4055.7,6,11,17,14,-5,sell
4055.6,4,5,9,7,-1,sell
4055.5,4,7,11,11,-3,sell
4055.4,1,3,4,4,-2,sell
4055.3,4,7,11,7,-3,sell
4055.2,5,0,5,3,5,buy
4055.1,4,4,8,5,0,flat
4055.0,9,6,15,11,3,buy
4054.9,4,3,7,6,1,buy
4054.8,12,4,16,11,8,buy
4054.7,7,7,14,12,0,flat
4054.6,8,9,17,15,-1,sell
4054.5,3,18,22,12,-15,sell
4054.4,14,5,19,15,9,buy
4054.3,13,27,40,15,-14,sell
4054.2,14,7,21,18,7,buy
4054.1,8,12,20,18,-4,sell
4054.0,10,14,24,17,-4,sell
4053.9,4,13,17,11,-9,sell
4053.8,6,3,10,7,3,buy
4053.7,6,6,12,11,0,flat
4053.6,10,4,14,9,6,buy
4053.5,6,15,21,13,-9,sell
4053.4,4,3,7,6,1,buy
4053.3,9,3,12,11,6,buy
4053.2,2,5,7,7,-3,sell
4053.1,5,4,9,9,1,buy
4053.0,8,7,15,12,1,buy
4052.9,7,8,15,10,-1,sell
4052.8,10,5,15,12,5,buy
4052.7,8,7,15,14,1,buy
4052.6,15,12,27,23,3,buy
4052.5,15,27,42,18,-12,sell
4052.4,18,12,30,21,6,buy
4052.3,14,24,38,24,-10,sell
4052.2,11,5,16,14,6,buy
4052.1,11,10,21,16,1,buy
4052.0,14,13,28,24,1,buy
4051.9,11,9,20,18,2,buy
4051.8,10,12,22,20,-2,sell
4051.7,12,12,24,22,0,flat
4051.6,23,16,39,32,7,buy
4051.5,9,12,21,20,-3,sell
4051.4,12,12,25,22,0,flat
4051.3,8,23,31,23,-15,sell
4051.2,14,14,29,25,0,flat
4051.1,25,20,46,37,5,buy
4051.0,23,26,50,43,-3,sell
4050.9,11,20,31,26,-9,sell
4050.8,17,17,34,27,0,flat
4050.7,9,22,32,27,-13,sell
4050.6,20,22,42,33,-2,sell
4050.5,37,41,78,50,-4,sell
4050.4,34,17,52,45,17,buy
4050.3,37,27,64,47,10,buy
4050.2,42,27,69,51,15,buy
4050.1,35,28,63,53,7,buy
4050.0,64,65,131,85,-1,sell
4049.9,40,27,69,60,13,buy
4049.8,45,37,83,65,8,buy
4049.7,37,30,67,48,7,buy
4049.6,22,42,64,55,-20,sell
4049.5,19,106,125,57,-87,sell
4049.4,10,26,36,31,-16,sell
4049.3,10,27,37,30,-17,sell
4049.2,109,28,138,41,81,buy
4049.1,92,26,118,56,66,buy
4049.0,40,41,81,60,-1,sell
4048.9,38,20,59,45,18,buy
4048.8,20,31,51,42,-11,sell
4048.7,17,33,50,42,-16,sell
4048.6,24,31,55,39,-7,sell
4048.5,26,27,53,47,-1,sell
4048.4,19,18,37,33,1,buy
4048.3,115,22,139,91,93,buy
4048.2,26,31,58,53,-5,sell
4048.1,17,26,43,38,-9,sell
4048.0,27,44,72,45,-17,sell
4047.9,32,26,59,42,6,buy
4047.8,26,44,71,47,-18,sell
4047.7,13,25,39,29,-12,sell
4047.6,25,27,52,40,-2,sell
4047.5,42,20,62,41,22,buy
4047.4,34,13,47,34,21,buy
4047.3,22,19,42,35,3,buy
4047.2,38,27,65,56,11,buy
4047.1,29,24,53,49,5,buy
4047.0,39,39,78,59,0,flat
4046.9,17,39,56,46,-22,sell
4046.8,38,38,78,61,0,flat
4046.7,28,62,91,50,-34,sell
4046.6,26,30,56,46,-4,sell
4046.5,48,30,78,51,18,buy
4046.4,42,31,75,57,11,buy
4046.3,40,30,70,48,10,buy
