price,buy_vol,sell_vol,delta,total_vol
4071.9,1,0,1,1
4071.8,1,0,1,1
4071.4,1,1,0,2
4071.3,1,0,1,1
4071.0,3,6,-3,9
4070.8,2,2,0,4
4070.7,4,1,3,5
4070.6,5,2,3,7
4070.5,4,2,2,6
4070.4,2,0,2,2
4070.3,4,3,1,7
4070.2,0,2,-2,2
4070.1,1,6,-5,7
4070.0,4,4,0,8
4069.9,6,4,2,10
4069.8,3,1,2,4
4069.7,4,0,4,4
4069.6,14,6,8,20
4069.5,18,8,10,26
4069.4,9,14,-5,23
4069.3,18,12,6,30
4069.2,9,13,-4,22
4069.1,6,13,-7,19
4069.0,6,17,-11,23
4068.9,10,16,-6,26
4068.8,4,33,-29,37
4068.7,4,11,-7,15
4068.6,8,8,0,16
4068.5,1,7,-6,8
4068.4,4,4,0,8
4068.3,7,5,2,12
4068.2,7,7,0,14
4068.1,4,7,-3,11
4068.0,81,8,73,89
4067.9,19,11,8,30
4067.8,15,34,-19,49
4067.7,5,13,-8,18
4067.6,9,29,-20,38
4067.5,5,16,-11,21
4067.4,12,22,-10,34
4067.3,7,6,1,13
4067.2,12,13,-1,25
4067.1,6,21,-15,27
4067.0,75,23,52,98
4066.9,20,12,8,32
4066.8,21,20,1,41
4066.7,14,21,-7,35
4066.6,24,34,-10,58
4066.5,62,31,31,93
4066.4,32,30,2,62
4066.3,36,51,-15,87
4066.2,77,48,29,125
4066.1,61,56,5,117
4066.0,67,44,23,111
4065.9,22,40,-18,62
4065.8,41,47,-6,88
4065.7,32,47,-15,79
4065.6,30,37,-7,67
4065.5,52,83,-31,135
4065.4,64,27,37,91
4065.3,182,53,129,235
4065.2,47,48,-1,95
4065.1,27,59,-32,86
4065.0,67,49,18,116
4064.9,45,45,0,90
4064.8,52,43,9,95
4064.7,33,54,-21,87
4064.6,30,30,0,60
4064.5,53,55,-2,108
4064.4,45,35,10,80
4064.3,33,52,-19,85
4064.2,45,53,-8,98
4064.1,25,55,-30,80
4064.0,54,60,-6,114
4063.9,29,18,11,47
4063.8,22,30,-8,52
4063.7,21,34,-13,55
4063.6,16,16,0,32
4063.5,23,23,0,46
4063.4,20,25,-5,45
4063.3,25,38,-13,63
4063.2,18,27,-9,45
4063.1,15,32,-17,47
4063.0,55,28,27,83
4062.9,36,26,10,62
4062.8,21,20,1,41
4062.7,41,37,4,78
4062.6,20,38,-18,58
4062.5,60,37,23,97
4062.4,8,14,-6,22
4062.3,18,26,-8,44
4062.2,27,21,6,48
4062.1,21,22,-1,43
4062.0,23,47,-24,70
4061.9,20,17,3,37
4061.8,13,18,-5,31
4061.7,10,13,-3,23
4061.6,5,7,-2,12
4061.5,8,6,2,14
4061.4,11,10,1,21
4061.3,7,10,-3,17
4061.2,5,14,-9,19
4061.1,11,9,2,20
4061.0,7,11,-4,18
4060.9,6,12,-6,18
4060.8,8,16,-8,24
4060.7,7,12,-5,19
4060.6,4,15,-11,19
4060.5,2,19,-17,21
4060.4,7,8,-1,15
4060.3,0,2,-2,2
4060.2,2,3,-1,5
4060.1,4,8,-4,12
4060.0,1,5,-4,6
4059.9,0,1,-1,1
4059.8,2,2,0,4
4059.7,0,3,-3,3
4059.6,2,7,-5,9
4059.5,1,0,1,1
4059.4,1,4,-3,5
4059.3,2,6,-4,8
4059.2,0,4,-4,4
4059.1,1,7,-6,8
4059.0,5,7,-2,12
4058.9,0,1,-1,1
4058.8,0,2,-2,2
4058.7,0,2,-2,2
4058.6,1,0,1,1
4058.5,6,2,4,8
4058.4,3,2,1,5
4058.3,5,0,5,5
4058.2,7,3,4,10
4058.1,9,7,2,16
4058.0,11,3,8,14
4057.9,10,6,4,16
4057.8,6,9,-3,15
4057.7,8,6,2,14
4057.6,7,9,-2,16
4057.5,4,7,-3,11
4057.4,3,2,1,5
4057.3,5,2,3,7
4057.2,2,6,-4,8
4057.1,3,5,-2,8
4057.0,1,7,-6,8
4056.9,1,13,-12,14
4056.8,1,2,-1,3
4056.7,4,2,2,6
4056.6,5,8,-3,13
4056.5,7,10,-3,17
4056.4,5,11,-6,16
4056.3,4,9,-5,13
4056.2,3,7,-4,10
4056.1,8,4,4,12
4056.0,7,15,-8,22
4055.9,7,9,-2,16
4055.8,5,13,-8,18
4055.7,6,11,-5,17
4055.6,4,5,-1,9
4055.5,4,7,-3,11
4055.4,1,3,-2,4
4055.3,4,7,-3,11
4055.2,5,0,5,5
4055.1,4,4,0,8
4055.0,9,6,3,15
4054.9,4,3,1,7
4054.8,12,4,8,16
4054.7,7,7,0,14
4054.6,8,9,-1,17
4054.5,4,18,-14,22
4054.4,14,5,9,19
4054.3,13,27,-14,40
4054.2,14,7,7,21
4054.1,8,12,-4,20
4054.0,10,14,-4,24
4053.9,4,13,-9,17
4053.8,7,3,4,10
4053.7,6,6,0,12
4053.6,10,4,6,14
4053.5,6,15,-9,21
4053.4,4,3,1,7
4053.3,9,3,6,12
4053.2,2,5,-3,7
4053.1,5,4,1,9
4053.0,8,7,1,15
4052.9,7,8,-1,15
4052.8,10,5,5,15
4052.7,8,7,1,15
4052.6,15,12,3,27
4052.5,15,27,-12,42
4052.4,18,12,6,30
4052.3,15,23,-8,38
4052.2,11,5,6,16
4052.1,11,10,1,21
4052.0,15,13,2,28
4051.9,11,9,2,20
4051.8,10,12,-2,22
4051.7,12,12,0,24
4051.6,23,16,7,39
4051.5,9,12,-3,21
4051.4,13,12,1,25
4051.3,8,23,-15,31
4051.2,14,15,-1,29
4051.1,25,21,4,46
4051.0,24,26,-2,50
4050.9,11,20,-9,31
4050.8,17,17,0,34
4050.7,9,23,-14,32
4050.6,20,22,-2,42
4050.5,37,41,-4,78
4050.4,35,17,18,52
4050.3,37,27,10,64
4050.2,43,26,17,69
4050.1,35,28,7,63
4050.0,64,67,-3,131
4049.9,40,29,11,69
4049.8,45,38,7,83
4049.7,37,30,7,67
4049.6,22,42,-20,64
4049.5,19,105,-86,124
4049.4,10,26,-16,36
4049.3,10,27,-17,37
4049.2,110,28,82,138
4049.1,92,26,66,118
4049.0,40,41,-1,81
4048.9,38,21,17,59
4048.8,20,31,-11,51
4048.7,17,33,-16,50
4048.6,24,31,-7,55
4048.5,26,27,-1,53
4048.4,19,18,1,37
4048.3,117,22,95,139
4048.2,27,31,-4,58
4048.1,17,26,-9,43
4048.0,28,44,-16,72
4047.9,33,26,7,59
4047.8,27,44,-17,71
4047.7,14,25,-11,39
4047.6,25,27,-2,52
4047.5,42,20,22,62
4047.4,34,13,21,47
4047.3,23,19,4,42
4047.2,38,27,11,65
4047.1,29,24,5,53
4047.0,39,39,0,78
4046.9,17,39,-22,56
4046.8,39,39,0,78
4046.7,29,62,-33,91
4046.6,26,30,-4,56
4046.5,48,30,18,78
4046.4,42,33,9,75
4046.3,40,30,10,70
4046.2,67,30,37,97
4046.1,19,33,-14,52
4046.0,71,60,11,131
4045.9,50,39,11,89
4045.8,25,25,0,50
4045.7,19,23,-4,42
4045.6,22,30,-8,52
4045.5,28,70,-42,98
4045.4,37,32,5,69
4045.3,52,20,32,72
4045.2,46,33,13,79
4045.1,25,26,-1,51
4045.0,38,35,3,73
4044.9,22,28,-6,50
4044.8,18,38,-20,56
4044.7,72,31,41,103
4044.6,32,37,-5,69
4044.5,34,47,-13,81
4044.4,79,44,35,123
4044.3,46,25,21,71
4044.2,65,49,16,114
4044.1,82,41,41,123
4044.0,53,39,14,92
4043.9,27,28,-1,55
4043.8,46,60,-14,106
4043.7,34,31,3,65
4043.6,26,17,9,43
4043.5,124,33,91,157
4043.4,26,30,-4,56
4043.3,36,49,-13,85
4043.2,101,39,62,140
4043.1,50,54,-4,104
4043.0,62,34,28,96
4042.9,24,31,-7,55
4042.8,59,32,27,91
4042.7,41,37,4,78
4042.6,42,32,10,74
4042.5,51,54,-3,105
4042.4,33,35,-2,68
4042.3,30,36,-6,66
4042.2,29,28,1,57
4042.1,27,27,0,54
4042.0,102,48,54,150
4041.9,33,34,-1,67
4041.8,71,49,22,120
4041.7,73,57,16,130
4041.6,59,96,-37,155
4041.5,100,63,37,163
4041.4,66,81,-15,147
4041.3,74,67,7,141
4041.2,85,87,-2,172
4041.1,54,67,-13,121
4041.0,84,97,-13,181
4040.9,72,63,9,135
4040.8,107,62,45,169
4040.7,98,62,36,160
4040.6,141,80,61,221
4040.5,113,142,-29,255
4040.4,87,161,-74,248
4040.3,77,99,-22,176
4040.2,101,79,22,180
4040.1,86,64,22,150
4040.0,133,141,-8,274
4039.9,199,99,100,298
4039.8,100,101,-1,201
4039.7,97,86,11,183
4039.6,96,105,-9,201
4039.5,142,106,36,248
4039.4,104,85,19,189
4039.3,121,137,-16,258
4039.2,147,148,-1,295
4039.1,160,145,15,305
4039.0,161,173,-12,334
4038.9,130,134,-4,264
4038.8,137,117,20,254
4038.7,109,93,16,202
4038.6,144,149,-5,293
4038.5,197,155,42,352
4038.4,145,151,-6,296
4038.3,172,137,35,309
4038.2,208,154,54,362
4038.1,150,135,15,285
4038.0,154,211,-57,365
4037.9,215,112,103,327
4037.8,173,158,15,331
4037.7,139,123,16,262
4037.6,137,136,1,273
4037.5,134,167,-33,301
4037.4,117,112,5,229
4037.3,126,106,20,232
4037.2,109,144,-35,253
4037.1,127,101,26,228
4037.0,190,168,22,358
4036.9,136,164,-28,300
4036.8,116,143,-27,259
4036.7,121,139,-18,260
4036.6,169,110,59,279
4036.5,132,155,-23,287
4036.4,162,180,-18,342
4036.3,131,157,-26,288
4036.2,94,108,-14,202
4036.1,83,106,-23,189
4036.0,105,165,-60,270
4035.9,77,132,-55,209
