bucket,vol_state,side,target_atr,stop_atr,horizon,n,target,stop,target_max,stop_min,open_pnl,cost_atr,p_target,p_target_max,p_stop,p_neither,ev_barrier,ev_open,ev_lo,ev_hi,cost,p_null,ev_null,ev_delta,lift,mde,thin,beats_mde,passes,undecided,ev_mirror,ev_sym
"(14.0, inf]",STABLE,1,2.0,1.5,60,2218,608,820,610,818,301.3596870944939,56.16247469205734,0.27412082957619477,0.2750225428313796,0.369702434625789,0.35617673579801623,-0.0063119927862939585,0.13587001221573214,0.10423679549253226,0.10739279188567924,0.025321223936905925,0.26431246655965757,0.05870994228375786,0.0455268532087744,0.009808363016537203,0.2907793896436686,False,False,False,False,-0.1665896894292135,-0.031176446968340626
"(14.0, inf]",EXPANDING,1,4.0,1.5,60,2541,140,990,140,990,1210.8636143682224,60.8751728936191,0.05509641873278237,0.05509641873278237,0.38961038961038963,0.555293191656828,-0.36402990948445496,0.4765303480394421,0.08854326701086318,0.08854326701086318,0.023957171544124006,0.045122168717674334,0.029189347666761605,0.05935391934410157,0.009974250015108037,0.05706589458883264,False,False,False,False,-0.11841436629194842,-0.014935549640542618
"(14.0, inf]",STABLE,1,1.5,1.5,60,2218,894,786,896,784,71.33743282596204,56.16247469205734,0.4030658250676285,0.40396753832281335,0.35437330928764654,0.242560865644725,0.07303877366997295,0.032162954385014444,0.07988050411808147,0.08258564388363601,0.025321223936905925,0.3920099875156055,0.0500354396745052,0.029845064443576264,0.011055837552022996,0.42115062660716207,False,False,False,False,-0.13322809175744788,-0.026673793819683204
"(14.0, inf]",EXPANDING,1,3.0,1.5,60,2541,299,985,299,985,843.8082007545019,60.8751728936191,0.11767020857929948,0.11767020857929948,0.3876426603699331,0.49468713105076745,-0.22845336481700118,0.3320772139923266,0.0796666776312014,0.0796666776312014,0.023957171544124006,0.10522561084358838,0.02955865299888221,0.05010802463231919,0.012444597735711105,0.12263280278039453,False,False,False,False,-0.0967546974711424,-0.0085440099199705
"(14.0, inf]",STABLE,1,2.0,1.0,60,2218,555,1171,560,1166,280.4665432926364,56.16247469205734,0.25022542831379624,0.25247971145175835,0.5279531109107304,0.22182146077547338,-0.02750225428313796,0.12645019986142308,0.07362672164137919,0.08038957105526559,0.025321223936905925,0.23738184412341715,0.04345953032317402,0.030167191318205173,0.012843584190379093,0.26295610084435483,False,False,False,False,-0.1350887619281829,-0.03073102014340185
"(14.0, inf]",EXPANDING,1,2.0,1.5,60,2541,679,959,680,958,316.68493857535714,60.8751728936191,0.26721763085399447,0.2676111767020858,0.3774104683195592,0.3553719008264464,-0.03168044077134986,0.12463004272938101,0.06899243041390714,0.0703698408822267,0.023957171544124006,0.26431246655965757,0.05870994228375786,0.01028248813014928,0.002905164294336904,0.28902651043547856,False,False,False,False,-0.09347889480746661,-0.012243232196779738
"(14.0, inf]",EXPANDING,1,4.0,1.0,60,2541,127,1385,127,1385,1111.7491417015292,60.8751728936191,0.049980322707595434,0.049980322707595434,0.5450609996064542,0.4049586776859504,-0.3451397087760724,0.4375242588357061,0.06842737851550969,0.06842737851550967,0.023957171544124006,0.040841804886748705,0.014909988587217383,0.0535173899282923,0.00913851782084673,0.05225290663035051,False,False,False,False,-0.09670913194419148,-0.014140876714340896
"(10.0, 14.0]",CONTRACTING,1,4.0,1.0,30,1665,24,682,24,682,761.8749038687827,63.50327803363372,0.014414414414414415,0.014414414414414415,0.4096096096096096,0.5759759759759759,-0.35195195195195195,0.4575825248461157,0.06749046596705642,0.06749046596705642,0.03814010692710734,0.016125121241513093,-0.00785654806059117,0.0753470140276476,-0.0017107068270986788,0.025421757931549733,False,False,False,False,-0.07986789283332114,-0.006188713433132362
"(14.0, inf]",CONTRACTING,-1,3.0,1.5,60,848,151,317,151,317,100.14565399546287,21.794415002467627,0.17806603773584906,0.17806603773584906,0.3738207547169811,0.4481132075471698,-0.02653301886792453,0.11809629008898923,0.0658623101332491,0.0658623101332491,0.025700961087815596,0.1394685214909934,-0.10591167709512762,0.17177398722837672,0.03859751624485566,0.17373568148521604,False,True,True,False,-0.16939136693094192,-0.05176452839884641
"(14.0, inf]",EXPANDING,1,4.0,0.75,60,2541,113,1621,113,1621,990.2000287872077,60.8751728936191,0.0444706808343172,0.0444706808343172,0.6379378197560016,0.31759149940968123,-0.3005706414797324,0.3896891101090939,0.06516129708523753,0.06516129708523752,0.023957171544124006,0.037631532013554486,0.019876046224838552,0.04528525086039898,0.006839148820762711,0.048621786760131486,False,False,False,False,-0.08243490995937153,-0.008636806437066998
