bucket,phase,side,target_atr,stop_atr,horizon,n,target,stop,target_max,stop_min,open_pnl,cost_atr,p_target,p_target_max,p_stop,p_neither,ev_barrier,ev_open,ev_lo,ev_hi,cost,p_null,lift,mde,thin,beats_mde,passes,undecided,ev_mirror,ev_sym
"(14.0, inf]",Asia-London,1,3.0,1.5,30,1011,69,274,69,274,324.4352671725791,18.70284410406137,0.06824925816023739,0.06824925816023739,0.27101879327398615,0.6607319485657764,-0.20178041543026706,0.3209053087760426,0.10062554210535878,0.10062554210535876,0.018499351240416784,0.059052903903115746,0.00919635425712164,0.08079670236172348,False,False,False,False,-0.16232319379767138,-0.0308488258461563
"(7.0, 10.0]",London-NY,1,4.0,1.0,60,1712,251,1196,255,1192,419.54873845220817,78.41706703759255,0.1466121495327103,0.14894859813084113,0.6985981308411215,0.15478971962616817,-0.11214953271028037,0.24506351545105617,0.08710962115339699,0.09879186414405117,0.04580436158737882,0.07456188490103538,0.07205026463167491,0.09290999398817543,False,True,True,False,-0.0077600906226314645,0.03967476526538276
"(14.0, inf]",Asia-London,1,2.0,1.5,30,1011,177,270,178,269,156.57624684264766,18.70284410406137,0.17507418397626112,0.17606330365974282,0.26706231454005935,0.5578635014836796,-0.050445103857566766,0.1548726477177524,0.08592819261976885,0.08939011151195479,0.018499351240416784,0.1565370627273068,0.01853712124895432,0.1893046381119002,False,False,False,False,-0.13552243500740707,-0.024797121193819112
"(14.0, inf]",Asia-London,1,1.5,1.5,30,1011,302,263,305,260,43.67621248202721,18.70284410406137,0.2987141444114738,0.3016815034619189,0.26013847675568746,0.4411473788328387,0.057863501483679525,0.043201001465902285,0.08256515170916502,0.09146722886050034,0.018499351240416784,0.2680064489520453,0.03070769545942853,0.30752341450098214,False,False,False,False,-0.1284659313413339,-0.022950389816084445
"(10.0, 14.0]",London-NY,-1,1.5,1.5,60,2347,1236,1056,1243,1049,-3.781617823055099,74.04473215694073,0.5266297400937366,0.5296122709842352,0.44993608862377504,0.023434171282488314,0.11504047720494248,-0.0016112559961887938,0.08188054964635884,0.09082814231785435,0.03154867156239485,0.4294700489248859,0.09715969116885076,0.45815191424720875,False,True,True,False,-0.15392548544264406,-0.03602246789814261
"(7.0, 10.0]",NY-Asia,-1,3.0,1.5,60,3217,544,1321,544,1321,753.1762883368591,141.66023276278702,0.16910164749766862,0.16910164749766862,0.410631022691949,0.42026732981038234,-0.10864159154491762,0.2341238073785698,0.08144732843458877,0.08144732843458877,0.044034887399063416,0.18238027293015768,-0.01327862543248906,0.201678318586074,False,False,False,False,-0.050741786003215106,0.01535277121568683
"(10.0, 14.0]",London-NY,-1,4.0,1.5,60,2347,441,1346,441,1346,519.8877897694375,74.04473215694073,0.18789944610140605,0.18789944610140605,0.5734980826587133,0.23860247123988065,-0.10864933958244567,0.22151162751147743,0.0813136163666369,0.08131361636663689,0.03154867156239485,0.09250503638531431,0.09539440971609174,0.10965506239093312,False,True,True,False,-0.19490071633882508,-0.05679354998609409
"(14.0, inf]",Asia-London,1,4.0,1.5,30,1011,21,277,21,277,432.1847258757085,18.70284410406137,0.020771513353115726,0.020771513353115726,0.27398615232443124,0.705242334322453,-0.327893175074184,0.42748241926380665,0.08108989294920589,0.08108989294920589,0.018499351240416784,0.02482096659292865,-0.0040494532398129245,0.0395712498417789,False,False,False,False,-0.1600211387657428,-0.03946562290826846
"(14.0, inf]",London,-1,3.0,1.5,60,3737,735,1636,740,1631,595.3404700198945,70.09098694664937,0.19668183034519668,0.19801980198019803,0.4377843189724378,0.3655338506823655,-0.06663098742306663,0.15930973241099666,0.07392279450715686,0.07994366686466287,0.01875595048077318,0.16251707909518748,0.0341647512500092,0.17963048375506788,False,True,True,False,-0.12480150607205766,-0.0254393557824504
"(7.0, 10.0]",London-NY,1,4.0,0.75,60,1712,216,1311,220,1307,324.03805815829986,78.41706703759255,0.1261682242990654,0.12850467289719625,0.7657710280373832,0.10806074766355145,-0.0696553738317757,0.18927456668124992,0.0738148312620954,0.08491296210321689,0.04580436158737882,0.06600080488786449,0.06016741941120092,0.08338524877146179,False,True,True,False,-0.02346305257888754,0.02517588934160393
"(0.0, 7.0]",Asia-London,1,4.0,1.5,60,1173,164,631,164,631,464.4658715209173,88.26334477646203,0.13981244671781756,0.13981244671781756,0.5379369138959932,0.32225063938618925,-0.24765558397271953,0.3959640848430667,0.07306268264659439,0.07306268264659442,0.0752458182237528,0.11152499441257543,0.028287452305242128,0.1380146857124211,False,True,True,False,-0.18768922377758285,-0.05731327056549423
"(10.0, 14.0]",London-NY,-1,2.0,1.5,60,2347,1013,1199,1017,1195,17.20478394996349,74.04473215694073,0.4316148274392842,0.43331913080528334,0.5108649339582446,0.05752023860247124,0.09693225394120153,0.007330542799302722,0.07271412517810939,0.07867918695910642,0.03154867156239485,0.3201085392426921,0.11150628819659208,0.347253319451978,False,True,True,False,-0.18244755521014452,-0.054866715016017566
"(14.0, inf]",Asia-London,1,3.0,1.5,60,1011,136,408,136,408,290.90141788522607,18.70284410406137,0.13452027695351138,0.13452027695351138,0.4035608308605341,0.46191889218595444,-0.20178041543026706,0.28773631838301295,0.0674565517123291,0.06745655171232909,0.018499351240416784,0.12046455138909974,0.014055725564411634,0.14997995208600956,False,False,False,False,-0.17763389044670888,-0.05508866936718989
"(7.0, 10.0]",NY-Asia,-1,3.0,1.0,60,3217,482,1827,482,1827,739.4364493088211,141.66023276278702,0.149829033260802,0.149829033260802,0.5679204227541187,0.2822505439850793,-0.11843332297171277,0.2298527974226985,0.06738458705192232,0.06738458705192232,0.044034887399063416,0.15717264844693227,-0.007343615186130276,0.1753928804636898,False,False,False,False,-0.04424396413563314,0.011570311458144591
"(0.0, 7.0]",Asia-London,1,4.0,0.75,60,1173,132,878,132,878,296.42614766842115,88.26334477646203,0.11253196930946291,0.11253196930946291,0.7485080988917306,0.1389599317988065,-0.11125319693094629,0.2527077132723113,0.0662086981176122,0.0662086981176122,0.0752458182237528,0.0841838635178425,0.028348105791620407,0.10769118378280855,False,True,True,False,-0.09330423176867543,-0.013547766825531618
"(14.0, inf]",Asia-London,1,2.0,1.5,60,1011,305,399,306,398,73.77304648213953,18.70284410406137,0.3016815034619189,0.3026706231454006,0.39465875370919884,0.30365974282888225,0.011374876360039565,0.0729703723858947,0.06584589750551748,0.06930781639770343,0.018499351240416784,0.2635494155154091,0.038132087946509796,0.30286858480310896,False,False,False,False,-0.12290949408703582,-0.02853179829075917
"(7.0, 10.0]",NY-Asia,-1,4.0,1.5,60,3217,251,1332,251,1332,1343.100513222727,141.66023276278702,0.07802300279763755,0.07802300279763755,0.41405035747590924,0.5079266397264532,-0.30898352502331367,0.41750093665611654,0.06448252423373946,0.06448252423373949,0.044034887399063416,0.09724508835473604,-0.019222085557098492,0.11216631705979907,False,False,False,False,-0.02708824729198167,0.018697138470878893
"(7.0, 10.0]",London-NY,1,4.0,1.5,60,1712,285,1012,290,1007,560.6512248078827,78.41706703759255,0.16647196261682243,0.169392523364486,0.5911214953271028,0.24240654205607481,-0.2207943925233645,0.32748319206067916,0.060884437949935845,0.07694752206208538,0.04580436158737882,0.08637910218417298,0.08009286043264945,0.10594642698993727,False,True,True,False,0.024343150997396375,0.04261379447366611
"(14.0, inf]",Asia-London,1,3.0,1.0,30,1011,60,441,60,441,338.0737116940462,18.70284410406137,0.05934718100890208,0.05934718100890208,0.4362017804154303,0.5044510385756675,-0.258160237388724,0.3343953627042989,0.05773577407515813,0.057735774075158106,0.018499351240416784,0.05309137265194406,0.00625580835695802,0.07383405858325681,False,False,False,False,-0.11351792131875575,-0.02789107362179881
"(10.0, 14.0]",London-NY,-1,3.0,1.5,60,2347,650,1314,651,1313,229.98927927457885,74.04473215694073,0.27694929697486154,0.2773753728163613,0.5598636557307201,0.16318704729441846,-0.008947592671495527,0.09799287570284569,0.05749661146895531,0.05941395275570435,0.03154867156239485,0.16967479340541874,0.10727450356944279,0.19169855198332533,False,True,True,False,-0.21801990414021924,-0.08026164633563196
"(14.0, inf]",NY-Asia,1,4.0,1.0,60,1926,120,1047,120,1047,707.3161514249028,32.35364231095475,0.06230529595015576,0.06230529595015576,0.543613707165109,0.3940809968847352,-0.29439252336448596,0.367246184540448,0.056055300682216064,0.056055300682216036,0.016798360493745973,0.04937756186427812,0.012927734085877642,0.06373815922969829,False,False,False,False,-0.03566157762642233,0.010196861527896867
"(14.0, inf]",Asia-London,1,1.5,1.5,60,1011,427,377,430,374,-2.163242615998029,18.70284410406137,0.42235410484668645,0.42532146389713155,0.37289812067260136,0.20474777448071219,0.07418397626112759,-0.002139705851630098,0.05354491916908072,0.06244699632041603,0.018499351240416784,0.38408987399423106,0.038264230852455394,0.42716441023954843,False,False,False,False,-0.0994456988012496,-0.022950389816084438
"(10.0, 14.0]",London-NY,-1,3.0,1.5,30,2347,351,939,352,938,555.0948999365521,74.04473215694073,0.14955262036642522,0.149978696207925,0.4000852151683,0.4503621644652748,-0.15146996165317428,0.23651252660270647,0.05349389338713734,0.05541123467388641,0.03154867156239485,0.08336375806255324,0.06618886230387198,0.0997532856149457,False,True,True,False,-0.11680766673641099,-0.03165688667463683
"(10.0, 14.0]",London-NY,-1,4.0,1.0,60,2347,373,1668,373,1668,374.38988354577197,74.04473215694073,0.15892628887942054,0.15892628887942054,0.7106945036216447,0.13037920749893483,-0.0749893481039625,0.15951848468077204,0.05298046501441468,0.05298046501441468,0.03154867156239485,0.08045882498047116,0.07846746389894937,0.09659507097318394,False,True,True,False,-0.1350547620556408,-0.041037148520613055
"(14.0, inf]",London,-1,4.0,1.5,60,3737,409,1668,413,1664,1133.0844528872906,70.09098694664937,0.10944607974310945,0.11051645705111052,0.44634733743644633,0.4442065828204442,-0.23173668718223173,0.30320697160484095,0.05271433394183604,0.058601409135841914,0.01875595048077318,0.0909366934871717,0.018509386255937746,0.10436421408191188,False,True,True,False,-0.1498630889337737,-0.04857437749596883
"(10.0, 14.0]",London-NY,-1,1.5,1.5,30,2347,1024,866,1031,859,-39.73204925207247,74.04473215694073,0.43630166169578183,0.4392841925862804,0.3689816787388155,0.19471665956540274,0.10097997443544951,-0.01692886631958776,0.0525024365534669,0.06145002922496243,0.03154867156239485,0.30733033142671695,0.12897133026906488,0.3341912789395004,False,True,True,False,-0.12454737234975213,-0.03602246789814262
"(14.0, inf]",Asia-London,1,3.0,1.5,15,1011,25,161,25,161,237.06274710130415,18.70284410406137,0.024727992087042534,0.024727992087042534,0.15924826904055392,0.8160237388724035,-0.16468842729970326,0.23448342937814456,0.05129565083802452,0.05129565083802452,0.018499351240416784,0.023516237402015677,0.001211754685026857,0.03791234563332016,False,False,False,False,-0.09343969032612776,-0.021072019744051616
"(14.0, inf]",Asia-London,1,4.0,1.5,15,1011,8,161,8,161,279.16714593325327,18.70284410406137,0.00791295746785361,0.00791295746785361,0.15924826904055392,0.8328387734915925,-0.20722057368941643,0.27612971902398936,0.05040979409415615,0.05040979409415618,0.018499351240416784,0.009406494960806271,-0.001493537492952661,0.018967389795082192,False,False,False,False,-0.09239032435315819,-0.020990265129501022
"(7.0, 10.0]",NY-Asia,-1,4.0,1.0,60,3217,225,1845,225,1845,1247.419339195268,141.66023276278702,0.06994093876282251,0.06994093876282251,0.5735156978551446,0.35654336338203296,-0.2937519428038545,0.3877585760631856,0.04997174586026765,0.04997174586026766,0.044034887399063416,0.08348882303442724,-0.013547884271604735,0.09744829575045254,False,False,False,False,-0.028278238417061563,0.010846753721603042
"(10.0, 14.0]",London-NY,-1,2.0,1.5,30,2347,733,915,737,911,97.65264701030952,74.04473215694073,0.3123135918193438,0.314017895185343,0.3898593949723051,0.2978270132083511,0.03983809118023008,0.041607433749599285,0.04989685336743452,0.05586191514843153,0.03154867156239485,0.1986937649588252,0.11361982686051861,0.2220571995366777,False,True,True,False,-0.12288141311628095,-0.03649227987442322
"(7.0, 10.0]",London-NY,1,3.0,1.0,60,1712,387,1173,396,1164,174.00215506253798,78.41706703759255,0.22605140186915887,0.23130841121495327,0.6851635514018691,0.08878504672897203,-0.007009345794392523,0.10163677281690303,0.048823065435131686,0.06985110281830925,0.04580436158737882,0.14744082244905427,0.0786105794201046,0.1719099008258349,False,True,True,False,-0.04166176532434136,0.003580650055395162
"(10.0, 14.0]",Asia-London,1,1.0,1.5,30,1271,648,327,648,327,-57.841434995441446,38.445759606384954,0.5098347757671126,0.5098347757671126,0.25727773406766324,0.2328874901652242,0.12391817466561762,-0.045508603458254485,0.04816113721335452,0.04816113721335452,0.030248433994008617,0.4624558841426311,0.047378891624481445,0.5016699356535275,False,True,True,False,-0.06710659146737857,-0.009472727127012026
"(14.0, inf]",Asia-London,1,2.0,1.5,15,1011,80,158,81,157,143.82132513752617,18.70284410406137,0.0791295746785361,0.08011869436201781,0.1562809099901088,0.7645895153313551,-0.076162215628091,0.14225650359794872,0.04759493672944094,0.051056855621626915,0.018499351240416784,0.07611048898842852,0.003019085690107573,0.10041150192028875,False,False,False,False,-0.0918114056865497,-0.02210823447855438
"(10.0, 14.0]",London-NY,-1,3.0,1.0,30,2347,325,1351,327,1349,560.4728607170026,74.04473215694073,0.13847464848743077,0.13932680017043034,0.5756284618662122,0.28589688964635707,-0.1602045164039199,0.2388039457677898,0.04705075780147505,0.05045936453347333,0.03154867156239485,0.077481643746704,0.060993004740726775,0.09335200681823301,False,True,True,False,-0.08304976430523911,-0.01799950325188203
"(14.0, inf]",NY-Asia,1,4.0,0.75,60,1926,107,1239,107,1239,623.063109515521,32.35364231095475,0.05555555555555555,0.05555555555555555,0.6433021806853583,0.30114226375908615,-0.2602544132917965,0.3235010952832404,0.046448321497697925,0.04644832149769794,0.016798360493745973,0.04360862304539244,0.011946932510163114,0.057182023666431596,False,False,False,False,-0.03301322437543466,0.006717548561131631
"(10.0, 14.0]",London-NY,-1,4.0,1.5,30,2347,176,945,176,945,895.0122483145445,74.04473215694073,0.0749893481039625,0.0749893481039625,0.4026416702172987,0.5223689816787388,-0.304005112910098,0.38134309685323586,0.04578931238074299,0.04578931238074299,0.03154867156239485,0.03687477181453085,0.03811457628943165,0.04822076271683175,False,True,True,False,-0.105316139510957,-0.029763413565107005
"(10.0, 14.0]",London-NY,-1,4.0,1.0,30,2347,167,1359,167,1359,871.0888076605762,74.04473215694073,0.07115466553046443,0.07115466553046443,0.5790370685982105,0.3498082658713251,-0.2944184064763528,0.3711498967450261,0.04518281870627841,0.04518281870627844,0.03154867156239485,0.03431909456005842,0.03683557097040601,0.04529682260954699,False,True,True,False,-0.07426341996840571,-0.014540300631063652
"(14.0, inf]",Asia-London,1,4.0,1.0,30,1011,19,444,19,444,432.31289586826307,18.70284410406137,0.018793273986152326,0.018793273986152326,0.4391691394658754,0.5420375865479723,-0.3639960435212661,0.42760919472627407,0.04511379996459121,0.045113799964591195,0.018499351240416784,0.02193393573544299,-0.0031406617492906637,0.035885839761537905,False,False,False,False,-0.11236050156409337,-0.03362335079975108
