bucket,vol_state,target_atr,horizon,n,hit,up,down,p_hit,p_up,p_down,p_null,lift,mde,thin,beats_mde,passes,dir_gap
"(0.0, 7.0]",CONTRACTING,1.0,15,6812,2495,1328,1167,0.36626541397533763,0.19495008807985909,0.17131532589547857,0.3703958534012201,-0.004130439425882482,0.3868298509575023,False,False,False,0.023634762184380514
"(0.0, 7.0]",EXPANDING,1.0,15,3185,1248,676,572,0.39183673469387753,0.21224489795918366,0.17959183673469387,0.3703958534012201,0.02144088129265742,0.39445532999195215,False,False,False,0.0326530612244898
"(0.0, 7.0]",STABLE,1.0,15,11804,4332,2197,2135,0.36699423924093527,0.18612334801762115,0.18087089122331412,0.3703958534012201,-0.003401614160284838,0.3828729493553998,False,False,False,0.0052524567943070255
"(10.0, 14.0]",CONTRACTING,1.0,15,1678,480,279,201,0.2860548271752086,0.16626936829559,0.1197854588796186,0.3029571514785757,-0.016902324303367133,0.3346392519607707,False,False,False,0.0464839094159714
"(10.0, 14.0]",EXPANDING,1.0,15,2800,912,444,468,0.32571428571428573,0.15857142857142856,0.16714285714285715,0.3029571514785757,0.02275713423571002,0.3274422889230951,False,False,False,0.008571428571428591
"(10.0, 14.0]",STABLE,1.0,15,3807,1118,599,519,0.2936695560809036,0.15734173890202258,0.136327817178881,0.3029571514785757,-0.0092875953976721,0.32393796132078245,False,False,False,0.021013921723141565
"(14.0, inf]",CONTRACTING,1.0,15,858,264,117,147,0.3076923076923077,0.13636363636363635,0.17132867132867133,0.2849310222851079,0.022761285407199794,0.3286299722996165,False,False,False,0.034965034965034975
"(14.0, inf]",EXPANDING,1.0,15,2554,728,385,343,0.2850430696945967,0.15074393108848866,0.13429913860610806,0.2849310222851079,0.00011204740948878023,0.3101399015470557,False,False,False,0.016444792482380594
"(14.0, inf]",STABLE,1.0,15,2242,619,325,294,0.276092774308653,0.14495985727029437,0.1311329170383586,0.2849310222851079,-0.008838247976454938,0.31184924460259783,False,False,False,0.013826940231935758
"(7.0, 10.0]",CONTRACTING,1.0,15,3194,978,473,505,0.30619912335629307,0.14809016906700062,0.15810895428929242,0.3196787740366905,-0.013479650680397415,0.34292087151183764,False,False,False,0.010018785222291798
"(7.0, 10.0]",EXPANDING,1.0,15,3844,1332,702,630,0.3465140478668054,0.18262226847034338,0.16389177939646202,0.3196787740366905,0.026835273830114914,0.3408555320683565,False,True,True,0.018730489073881362
"(7.0, 10.0]",STABLE,1.0,15,6535,2029,1101,928,0.3104820198928845,0.16847742922723796,0.14200459066564652,0.3196787740366905,-0.009196754143805996,0.3359027441684376,False,False,False,0.02647283856159144
"(0.0, 7.0]",CONTRACTING,1.0,30,6638,3369,1781,1588,0.5075323892738777,0.2683037059355228,0.23922868333835492,0.525772712349327,-0.018240323075449316,0.5429307882444641,False,False,False,0.02907502259716785
"(0.0, 7.0]",EXPANDING,1.0,30,3153,1737,916,821,0.5509039010466222,0.29051696796701554,0.2603869330796067,0.525772712349327,0.025131188697295248,0.5506575760959708,False,True,True,0.03013003488740884
"(0.0, 7.0]",STABLE,1.0,30,11530,6104,3120,2984,0.5294015611448395,0.27059843885516044,0.2588031222896791,0.525772712349327,0.003628848795512507,0.5387942189210727,False,False,False,0.011795316565481329
"(10.0, 14.0]",CONTRACTING,1.0,30,1665,722,396,326,0.4336336336336336,0.23783783783783785,0.19579579579579579,0.4430164888457808,-0.009382855212147212,0.4771786995750218,False,False,False,0.042042042042042066
"(10.0, 14.0]",EXPANDING,1.0,30,2791,1297,677,620,0.4647079899677535,0.24256538874955214,0.22214260121820137,0.4430164888457808,0.021691501121972656,0.46939583140128954,False,False,False,0.020422787531350767
"(10.0, 14.0]",STABLE,1.0,30,3792,1635,886,749,0.4311708860759494,0.23364978902953587,0.1975210970464135,0.4430164888457808,-0.011845602769831431,0.46564446267486687,False,False,False,0.03612869198312238
"(14.0, inf]",CONTRACTING,1.0,30,855,350,160,190,0.4093567251461988,0.1871345029239766,0.2222222222222222,0.41558901682905225,-0.006232291682853441,0.4629745464842614,False,False,False,0.03508771929824561
"(14.0, inf]",EXPANDING,1.0,30,2551,1076,584,492,0.4217953743629949,0.2289298314386515,0.1928655429243434,0.41558901682905225,0.0062063575339426635,0.4429905741967943,False,False,False,0.036064288514308096
"(14.0, inf]",STABLE,1.0,30,2239,920,516,404,0.41089772219740955,0.23046002679767755,0.18043769539973203,0.41558901682905225,-0.004691294631642695,0.44484122107090524,False,False,False,0.05002233139794551
"(7.0, 10.0]",CONTRACTING,1.0,30,3175,1430,709,721,0.4503937007874016,0.22330708661417323,0.22708661417322834,0.4740038512812917,-0.023610150493890092,0.498840355311899,False,False,False,0.0037795275590551125
"(7.0, 10.0]",EXPANDING,1.0,30,3826,1934,997,937,0.505488761108207,0.2605854678515421,0.24490329325666493,0.4740038512812917,0.031484909826915264,0.4966287805223166,False,True,True,0.01568217459487714
"(7.0, 10.0]",STABLE,1.0,30,6501,3036,1641,1395,0.467005076142132,0.2524227041993539,0.21458237194277804,0.4740038512812917,-0.006998775139159696,0.49135998945740916,False,False,False,0.037840332256575876
"(0.0, 7.0]",CONTRACTING,1.0,60,6403,4199,2186,2013,0.655786350148368,0.3414024675933156,0.31438388255505234,0.6722417840375586,-0.016455433889190685,0.6886094776861352,False,False,False,0.027018585038263265
"(0.0, 7.0]",EXPANDING,1.0,60,3062,2089,1123,966,0.6822338340953625,0.3667537557152188,0.3154800783801437,0.6722417840375586,0.009992050057803903,0.6958646462790155,False,False,False,0.051273677335075096
"(0.0, 7.0]",STABLE,1.0,60,10983,7458,3812,3646,0.6790494400437039,0.3470818537740144,0.33196758626968953,0.6722417840375586,0.006807656006145302,0.6847516265310407,False,False,False,0.015114267504324874
"(10.0, 14.0]",CONTRACTING,1.0,60,1652,971,503,468,0.587772397094431,0.30447941888619856,0.28329297820823246,0.590398240899096,-0.002625843804665018,0.624140966229913,False,False,False,0.0211864406779661
"(10.0, 14.0]",EXPANDING,1.0,60,2771,1752,960,792,0.632262721039336,0.3464453265968964,0.28581739444243953,0.590398240899096,0.041864480140240024,0.6164821486556192,False,True,True,0.06062793215445689
"(10.0, 14.0]",STABLE,1.0,60,3763,2110,1175,935,0.560722827531225,0.31225086367260163,0.24847196385862344,0.590398240899096,-0.02967541336787094,0.6127934460495862,False,False,False,0.06377889981397819
"(14.0, inf]",CONTRACTING,1.0,60,848,438,203,235,0.5165094339622641,0.23938679245283018,0.27712264150943394,0.5332619939361513,-0.016752559973887138,0.5810995041483042,False,False,False,0.037735849056603765
"(14.0, inf]",EXPANDING,1.0,60,2541,1386,792,594,0.5454545454545454,0.3116883116883117,0.23376623376623376,0.5332619939361513,0.012192551518394157,0.5609455892904156,False,False,False,0.07792207792207792
"(14.0, inf]",STABLE,1.0,60,2218,1166,682,484,0.5256988277727682,0.30748422001803427,0.218214607754734,0.5332619939361513,-0.007563166163383039,0.562888507150066,False,False,False,0.08926961226330027
"(7.0, 10.0]",CONTRACTING,1.0,60,3140,1910,976,934,0.60828025477707,0.310828025477707,0.29745222929936305,0.6280345734686208,-0.019754318691550754,0.6520938252566137,False,False,False,0.013375796178343946
"(7.0, 10.0]",EXPANDING,1.0,60,3761,2538,1361,1177,0.6748205264557299,0.3618718425950545,0.31294868386067537,0.6280345734686208,0.04678595298710908,0.6500269838921828,False,True,True,0.048923158734379135
"(7.0, 10.0]",STABLE,1.0,60,6404,3908,2131,1777,0.6102435977514054,0.33276077451592756,0.27748282323547785,0.6280345734686208,-0.01779097571721544,0.6449050393735614,False,False,False,0.05527795128044971
"(0.0, 7.0]",CONTRACTING,1.5,15,6812,1275,672,603,0.18716970052847914,0.09864944216089254,0.08852025836758662,0.19765148387688639,-0.010481783348407242,0.21127082684377926,False,False,False,0.010129183793305921
"(0.0, 7.0]",EXPANDING,1.5,15,3185,717,392,325,0.2251177394034537,0.12307692307692308,0.10204081632653061,0.19765148387688639,0.027466255526567313,0.21763519737034887,False,True,True,0.02103610675039247
"(0.0, 7.0]",STABLE,1.5,15,11804,2317,1162,1155,0.1962893934259573,0.09844120637072179,0.09784818705523551,0.19765148387688639,-0.001362090450929082,0.20797944750014072,False,False,False,0.0005930193154862762
"(10.0, 14.0]",CONTRACTING,1.5,15,1678,214,112,102,0.12753277711561384,0.066746126340882,0.060786650774731825,0.14375377187688593,-0.01622099476127209,0.16822576224614666,False,False,False,0.005959475566150181
"(10.0, 14.0]",EXPANDING,1.5,15,2800,451,213,238,0.16107142857142856,0.07607142857142857,0.085,0.14375377187688593,0.017317656694542632,0.16261808998959743,False,False,False,0.008928571428571438
"(10.0, 14.0]",STABLE,1.5,15,3807,526,266,260,0.1381665353296559,0.06987128972944576,0.06829524560021014,0.14375377187688593,-0.0055872365472300345,0.1598977372936586,False,False,False,0.0015760441292356209
"(14.0, inf]",CONTRACTING,1.5,15,858,119,39,80,0.1386946386946387,0.045454545454545456,0.09324009324009325,0.1282278033250796,0.010466835369559085,0.16116381446492803,False,False,False,0.04778554778554779
"(14.0, inf]",EXPANDING,1.5,15,2554,331,158,173,0.12960062646828505,0.06186374314800313,0.06773688332028191,0.1282278033250796,0.0013728231432054427,0.1470931845685924,False,False,False,0.0058731401722787804
"(14.0, inf]",STABLE,1.5,15,2242,275,147,128,0.12265834076717216,0.0655664585191793,0.057091882247992866,0.1282278033250796,-0.00556946255790744,0.14838591979136648,False,False,False,0.008474576271186439
"(7.0, 10.0]",CONTRACTING,1.5,15,3194,452,211,241,0.14151534126487164,0.06606136505948654,0.0754539762053851,0.15906579238193472,-0.017550451117063076,0.1774388955267404,False,False,False,0.009392611145898566
"(7.0, 10.0]",EXPANDING,1.5,15,3844,703,373,330,0.18288241415192508,0.09703433922996878,0.0858480749219563,0.15906579238193472,0.02381662176999036,0.17579468506904636,False,True,True,0.011186264308012478
"(7.0, 10.0]",STABLE,1.5,15,6535,1004,518,486,0.15363427697016066,0.079265493496557,0.07436878347360368,0.15906579238193472,-0.005431515411774057,0.17186081970204156,False,False,False,0.004896710022953318
"(0.0, 7.0]",CONTRACTING,1.5,30,6638,2263,1208,1055,0.3409159385357035,0.1819825248568846,0.1589334136788189,0.3579100417428826,-0.01699410320717909,0.3744417696419469,False,False,False,0.023049111178065684
"(0.0, 7.0]",EXPANDING,1.5,30,3153,1168,643,525,0.37044084998414206,0.20393276244846179,0.1665080875356803,0.3579100417428826,0.012530808241259461,0.38192516059054665,False,False,False,0.03742467491278148
"(0.0, 7.0]",STABLE,1.5,30,11530,4200,2154,2046,0.3642671292281006,0.1868169991326973,0.1774501300954033,0.3579100417428826,0.006357087485218016,0.37044537783224024,False,False,False,0.009366869037294001
"(10.0, 14.0]",CONTRACTING,1.5,30,1665,454,237,217,0.2726726726726727,0.14234234234234233,0.13033033033033034,0.27085354025218233,0.0018191324204903658,0.3016663217910844,False,False,False,0.012012012012011991
"(10.0, 14.0]",EXPANDING,1.5,30,2791,839,431,408,0.3006091006807596,0.15442493729845932,0.14618416338230025,0.27085354025218233,0.029755560428577243,0.294602848032503,False,True,True,0.008240773916159072
"(10.0, 14.0]",STABLE,1.5,30,3792,941,490,451,0.24815400843881857,0.12921940928270043,0.11893459915611815,0.27085354025218233,-0.02269953181336376,0.29120737966682353,False,False,False,0.010284810126582278
"(14.0, inf]",CONTRACTING,1.5,30,855,199,86,113,0.2327485380116959,0.10058479532163743,0.13216374269005848,0.2425155004428698,-0.009766962431173892,0.2842269413359859,False,False,False,0.031578947368421054
"(14.0, inf]",EXPANDING,1.5,30,2551,646,333,313,0.253234025872207,0.13053704429635438,0.12269698157585261,0.2425155004428698,0.010718525429337211,0.2665151537549407,False,False,False,0.007840062720501764
"(14.0, inf]",STABLE,1.5,30,2239,524,299,225,0.23403305046895936,0.1335417597141581,0.10049129075480125,0.2425155004428698,-0.008482449973910428,0.26814805739562153,False,False,False,0.03305046895935686
"(7.0, 10.0]",CONTRACTING,1.5,30,3175,887,428,459,0.27937007874015746,0.13480314960629922,0.14456692913385827,0.29825211079840025,-0.018882032058242793,0.3211393458347572,False,False,False,0.009763779527559052
"(7.0, 10.0]",EXPANDING,1.5,30,3826,1267,684,583,0.3311552535284893,0.17877679038159958,0.15237846314688971,0.29825211079840025,0.03290314273008904,0.3190907218967779,False,True,True,0.026398327234709862
"(7.0, 10.0]",STABLE,1.5,30,6501,1873,1009,864,0.28810952161205966,0.1552068912475004,0.1329026303645593,0.29825211079840025,-0.01014258918634059,0.31421848339676905,False,False,False,0.0223042608829411
"(0.0, 7.0]",CONTRACTING,1.5,60,6403,3305,1732,1573,0.5161642979853194,0.2704982039668905,0.24566609401842887,0.5324726134585289,-0.016308315473209545,0.5499262792803025,False,False,False,0.024832109948461634
"(0.0, 7.0]",EXPANDING,1.5,60,3062,1670,909,761,0.5453951665578054,0.2968647942521228,0.24853037230568256,0.5324726134585289,0.01292255309927648,0.5576990286461349,False,False,False,0.04833442194644025
"(0.0, 7.0]",STABLE,1.5,60,10983,5913,3041,2872,0.5383774924883912,0.2768824547027224,0.26149503778566874,0.5324726134585289,0.005904879029862253,0.545802354074158,False,False,False,0.015387416917053642
"(10.0, 14.0]",CONTRACTING,1.5,60,1652,692,345,347,0.4188861985472155,0.20883777239709442,0.21004842615012106,0.41937454190080625,-0.00048834335359077,0.4534783475906072,False,False,False,0.001210653753026647
"(10.0, 14.0]",EXPANDING,1.5,60,2771,1305,702,603,0.4709491158426561,0.2533381450739805,0.21761097076867555,0.41937454190080625,0.05157457394184983,0.44569427806004075,False,True,True,0.03572717430530495
"(10.0, 14.0]",STABLE,1.5,60,3763,1436,786,650,0.3816104172203029,0.20887589689077862,0.17273452032952433,0.41937454190080625,-0.03776412468050333,0.44195439505860695,False,False,False,0.036141376561254296
"(14.0, inf]",CONTRACTING,1.5,60,848,316,132,184,0.37264150943396224,0.15566037735849056,0.2169811320754717,0.36507936507936506,0.007562144354597178,0.41170733548231586,False,False,False,0.061320754716981146
"(14.0, inf]",EXPANDING,1.5,60,2541,958,543,415,0.37701692247146795,0.21369539551357733,0.1633215269578906,0.36507936507936506,0.011937557392102893,0.3919498557226073,False,False,False,0.050373868555686735
"(14.0, inf]",STABLE,1.5,60,2218,773,438,335,0.348512173128945,0.19747520288548243,0.15103697024346258,0.36507936507936506,-0.016567191950420057,0.3938473492012717,False,False,False,0.04643823264201985
"(7.0, 10.0]",CONTRACTING,1.5,60,3140,1391,691,700,0.4429936305732484,0.22006369426751593,0.2229299363057325,0.466967305524239,-0.023973674950990564,0.49192633330051566,False,False,False,0.00286624203821656
"(7.0, 10.0]",EXPANDING,1.5,60,3761,1941,1049,892,0.5160861473012497,0.27891518213241157,0.23717096516883807,0.466967305524239,0.0491188417770107,0.4897723286733987,False,True,True,0.0417442169635735
"(7.0, 10.0]",STABLE,1.5,60,6404,2881,1554,1327,0.44987507807620236,0.24266083697688945,0.20721424109931294,0.466967305524239,-0.017092227448036623,0.4844424425954996,False,False,False,0.03544659587757651
"(0.0, 7.0]",CONTRACTING,2.0,15,6812,636,341,295,0.09336465061655902,0.05005871990604815,0.043305930710510865,0.10201366909774781,-0.008649018481188792,0.11242225132457626,False,False,False,0.006752789195537283
"(0.0, 7.0]",EXPANDING,2.0,15,3185,375,220,155,0.11773940345368916,0.06907378335949764,0.04866562009419152,0.10201366909774781,0.01572573435594135,0.11732405130423408,False,True,True,0.020408163265306117
"(0.0, 7.0]",STABLE,2.0,15,11804,1213,602,611,0.10276177566926466,0.050999661131819723,0.051762114537444934,0.10201366909774781,0.0007481065715168461,0.10989651173052803,False,False,False,0.0007624534056252102
"(10.0, 14.0]",CONTRACTING,2.0,15,1678,95,42,53,0.056615017878426696,0.025029797377830752,0.03158522050059595,0.07073023536511769,-0.014115217486690992,0.08884245382490746,False,False,False,0.0065554231227651985
"(10.0, 14.0]",EXPANDING,2.0,15,2800,230,104,126,0.08214285714285714,0.037142857142857144,0.045,0.07073023536511769,0.011412621777739454,0.0846537214581554,False,False,False,0.007857142857142854
"(10.0, 14.0]",STABLE,2.0,15,3807,261,117,144,0.06855791962174941,0.030732860520094562,0.037825059101654845,0.07073023536511769,-0.0021723157433682777,0.08262956999233576,False,False,False,0.0070921985815602835
"(14.0, inf]",CONTRACTING,2.0,15,858,57,12,45,0.06643356643356643,0.013986013986013986,0.05244755244755245,0.06031128404669261,0.006122282386873824,0.08422005987810532,False,False,False,0.038461538461538464
"(14.0, inf]",EXPANDING,2.0,15,2554,160,76,84,0.06264682850430697,0.02975724353954581,0.03288958496476116,0.06031128404669261,0.002335544457614365,0.07390070397074898,False,False,False,0.0031323414252153493
"(14.0, inf]",STABLE,2.0,15,2242,124,64,60,0.05530776092774309,0.028545941123996433,0.026761819803746655,0.06031128404669261,-0.00500352311894952,0.07484263674441155,False,False,False,0.0017841213202497777
"(7.0, 10.0]",CONTRACTING,2.0,15,3194,202,98,104,0.06324358171571696,0.030682529743268627,0.03256105197244834,0.0765490311648125,-0.013305449449095536,0.09003205767876028,False,False,False,0.0018785222291797105
"(7.0, 10.0]",EXPANDING,2.0,15,3844,347,187,160,0.09027055150884496,0.04864724245577524,0.04162330905306972,0.0765490311648125,0.013721520344032456,0.08881559065835898,False,True,True,0.007023933402705518
"(7.0, 10.0]",STABLE,2.0,15,6535,490,251,239,0.07498087222647284,0.038408569242540165,0.03657230298393267,0.0765490311648125,-0.001568158938339656,0.08591274292033205,False,False,False,0.0018362662586074927
"(0.0, 7.0]",CONTRACTING,2.0,30,6638,1472,811,661,0.22175354022295873,0.12217535402229587,0.09957818620066285,0.2326813939308663,-0.010927853707907553,0.24730297366117257,False,False,False,0.022597167821633027
"(0.0, 7.0]",EXPANDING,2.0,30,3153,769,440,329,0.24389470345702505,0.13954963526799874,0.10434506818902632,0.2326813939308663,0.01121330952615876,0.253954145556539,False,False,False,0.03520456707897242
"(0.0, 7.0]",STABLE,2.0,30,11530,2720,1398,1322,0.23590633130962707,0.1212489158716392,0.11465741543798785,0.2326813939308663,0.003224937378760784,0.24375922993251103,False,False,False,0.006591500433651351
"(10.0, 14.0]",CONTRACTING,2.0,30,1665,263,129,134,0.15795795795795795,0.07747747747747748,0.08048048048048048,0.16125121241513093,-0.0032932544571729894,0.18695750856531512,False,False,False,0.0030030030030030047
"(10.0, 14.0]",EXPANDING,2.0,30,2791,515,252,263,0.1845216768183447,0.09029021855965604,0.09423145825868864,0.16125121241513093,0.02327046440321376,0.18102903879194332,False,True,True,0.003941239699032609
"(10.0, 14.0]",STABLE,2.0,30,3792,552,272,280,0.14556962025316456,0.07172995780590717,0.07383966244725738,0.16125121241513093,-0.01568159216196638,0.1781865384112854,False,False,False,0.002109704641350213
"(14.0, inf]",CONTRACTING,2.0,30,855,117,41,76,0.1368421052631579,0.047953216374269005,0.08888888888888889,0.1362267493356953,0.0006153559274625908,0.17003236794642626,False,False,False,0.04093567251461989
"(14.0, inf]",EXPANDING,2.0,30,2551,367,179,188,0.14386515092120736,0.07016856134849078,0.07369658957271658,0.1362267493356953,0.007638401585512045,0.1555778508249763,False,False,False,0.003528028224225793
"(14.0, inf]",STABLE,2.0,30,2239,285,147,138,0.1272889682894149,0.06565430995980348,0.06163465832961143,0.1362267493356953,-0.008937781046280402,0.15690450246207335,False,False,False,0.00401965163019205
"(7.0, 10.0]",CONTRACTING,2.0,30,3175,509,248,261,0.16031496062992126,0.07811023622047245,0.08220472440944881,0.18412087098207672,-0.023805910352155457,0.20361713051652705,False,False,False,0.00409448818897637
"(7.0, 10.0]",EXPANDING,2.0,30,3826,814,437,377,0.21275483533716674,0.11421850496602196,0.0985363303711448,0.18412087098207672,0.028633964355090025,0.20186354498018613,False,True,True,0.015682174594877155
"(7.0, 10.0]",STABLE,2.0,30,6501,1163,607,556,0.1788955545300723,0.09337025073065683,0.08552530379941548,0.18412087098207672,-0.005225316452004414,0.1976995934996527,False,False,False,0.007844946931241353
"(0.0, 7.0]",CONTRACTING,2.0,60,6403,2530,1365,1165,0.3951272840855849,0.21318132125566142,0.18194596282992348,0.4076682316118936,-0.012540947526308688,0.4249037578236961,False,False,False,0.031235358425737936
"(0.0, 7.0]",EXPANDING,2.0,60,3062,1296,718,578,0.4232527759634226,0.23448726322664926,0.18876551273677336,0.4076682316118936,0.015584544351529006,0.43260887074018683,False,False,False,0.045721750489875895
"(0.0, 7.0]",STABLE,2.0,60,10983,4510,2356,2154,0.41063461713557314,0.2145133387963216,0.19612127833925158,0.4076682316118936,0.00296638552367956,0.42082311216656787,False,False,False,0.01839206045707001
"(10.0, 14.0]",CONTRACTING,2.0,60,1652,470,218,252,0.2845036319612591,0.13196125907990314,0.15254237288135594,0.2890300513071097,-0.004526419345850574,0.32055315806371154,False,False,False,0.020581113801452805
"(10.0, 14.0]",EXPANDING,2.0,60,2771,920,477,443,0.3320101046553591,0.1721400216528329,0.15987008300252617,0.2890300513071097,0.04298005334824939,0.3133243083142934,False,True,True,0.012269938650306733
"(10.0, 14.0]",STABLE,2.0,60,3763,976,530,446,0.25936752591017803,0.14084507042253522,0.11852245548764284,0.2890300513071097,-0.02966252539693165,0.30985824409307067,False,False,False,0.022322614934892376
"(14.0, inf]",CONTRACTING,2.0,60,848,215,86,129,0.2535377358490566,0.10141509433962265,0.15212264150943397,0.24059211699661137,0.012945618852445218,0.2823714056597491,False,False,False,0.05070754716981132
"(14.0, inf]",EXPANDING,2.0,60,2541,628,346,282,0.24714679260133807,0.13616686343959072,0.11097992916174734,0.24059211699661137,0.006554675604726695,0.26457660999726335,False,False,False,0.02518693427784338
"(14.0, inf]",STABLE,2.0,60,2218,506,263,243,0.22813345356176737,0.11857529305680793,0.10955816050495942,0.24059211699661137,-0.012458663434844003,0.2662798371738638,False,False,False,0.009017132551848508
"(7.0, 10.0]",CONTRACTING,2.0,60,3140,966,492,474,0.3076433121019108,0.15668789808917197,0.15095541401273885,0.3379180759113115,-0.030274763809400695,0.36167884534012035,False,False,False,0.00573248407643312
"(7.0, 10.0]",EXPANDING,2.0,60,3761,1460,804,656,0.3881946290880085,0.21377293273065673,0.17442169635735177,0.3379180759113115,0.05027655317669699,0.3596205702744713,False,True,True,0.039351236373304954
"(7.0, 10.0]",STABLE,2.0,60,6404,2070,1108,962,0.32323547782635853,0.17301686445971268,0.15021861336664585,0.3379180759113115,-0.01468259808495298,0.35453378002244995,False,False,False,0.022798251093066824
