bucket,phase,near_event,n,target,stop,target_max,stop_min,open_pnl
"(0.0, 7.0]",Asia,False,12466.0,1035.0,6438.0,1037.0,6436.0,3477.505102329528
"(0.0, 7.0]",Asia-London,False,1173.0,137.0,684.0,137.0,684.0,273.6533760523715
"(0.0, 7.0]",London,False,6455.0,775.0,3643.0,776.0,3642.0,1551.9910302439225
"(0.0, 7.0]",London-NY,False,483.0,105.0,323.0,107.0,321.0,54.58791879031921
"(0.0, 7.0]",London-NY,True,8.0,1.0,7.0,1.0,7.0,0.0
"(0.0, 7.0]",NY,False,1712.0,105.0,876.0,105.0,876.0,465.69878836146836
"(0.0, 7.0]",NY-Asia,False,5775.0,302.0,2392.0,303.0,2391.0,1622.2953638353968
"(0.0, 7.0]",NY-Asia,True,22.0,3.0,19.0,7.0,15.0,0.0
"(7.0, 10.0]",Asia,False,9042.0,736.0,4486.0,738.0,4484.0,2469.104281146986
"(7.0, 10.0]",Asia-London,False,1429.0,111.0,724.0,111.0,724.0,428.0247414725869
"(7.0, 10.0]",London,False,8389.0,605.0,4314.0,607.0,4312.0,2211.897281332916
"(7.0, 10.0]",London-NY,False,1675.0,246.0,1086.0,252.0,1080.0,285.33825603992625
"(7.0, 10.0]",London-NY,True,37.0,6.0,30.0,13.0,23.0,1.278939899240591
"(7.0, 10.0]",NY,False,3563.0,262.0,1623.0,262.0,1623.0,987.5397502025296
"(7.0, 10.0]",NY-Asia,False,3791.0,219.0,1628.0,219.0,1628.0,1077.2130666064465
"(7.0, 10.0]",NY-Asia,True,17.0,2.0,13.0,2.0,13.0,3.128161065979851
"(10.0, 14.0]",Asia,False,7729.0,621.0,3692.0,621.0,3692.0,1969.2071103357182
"(10.0, 14.0]",Asia-London,False,1271.0,60.0,653.0,60.0,653.0,371.8860241062813
"(10.0, 14.0]",London,False,5839.0,402.0,2786.0,402.0,2786.0,1594.5942585904954
"(10.0, 14.0]",London-NY,False,2268.0,322.0,1307.0,324.0,1305.0,532.1191310244008
"(10.0, 14.0]",London-NY,True,79.0,14.0,59.0,14.0,59.0,6.333839321174907
"(10.0, 14.0]",NY,False,5079.0,372.0,2404.0,375.0,2401.0,1285.0971921528053
"(10.0, 14.0]",NY-Asia,False,2371.0,117.0,1025.0,120.0,1022.0,632.6857464518249
"(10.0, 14.0]",NY-Asia,True,15.0,4.0,11.0,7.0,8.0,0.0
"(14.0, inf]",Asia,False,7719.0,568.0,3511.0,579.0,3500.0,1820.6562215481858
"(14.0, inf]",Asia-London,False,1011.0,61.0,470.0,62.0,469.0,197.42734682427377
"(14.0, inf]",London,False,3737.0,288.0,1665.0,294.0,1659.0,931.3770565234743
"(14.0, inf]",London-NY,False,2662.0,309.0,1472.0,309.0,1472.0,614.4632496934407
"(14.0, inf]",London-NY,True,121.0,29.0,60.0,29.0,60.0,12.287725413534485
"(14.0, inf]",NY,False,9185.0,794.0,4410.0,809.0,4395.0,1951.937820414269
"(14.0, inf]",NY-Asia,False,2199.0,146.0,986.0,151.0,981.0,459.8609815533839
"(14.0, inf]",NY-Asia,True,37.0,12.0,19.0,13.0,18.0,6.5276988367485345
