bucket,phase,near_event,n,target,stop,target_max,stop_min,open_pnl
"(0.0, 7.0]",Asia,False,12466.0,1155.0,4350.0,1156.0,4349.0,3356.0060937505746
"(0.0, 7.0]",Asia-London,False,1173.0,168.0,487.0,168.0,487.0,309.835795731586
"(0.0, 7.0]",London,False,6455.0,764.0,2656.0,765.0,2655.0,1674.2148487946513
"(0.0, 7.0]",London-NY,False,483.0,90.0,281.0,92.0,279.0,97.34297986343272
"(0.0, 7.0]",London-NY,True,8.0,6.0,2.0,6.0,2.0,0.0
"(0.0, 7.0]",NY,False,1712.0,134.0,540.0,134.0,540.0,497.810328890222
"(0.0, 7.0]",NY-Asia,False,5775.0,261.0,1464.0,267.0,1458.0,1449.678582699794
"(0.0, 7.0]",NY-Asia,True,22.0,6.0,16.0,12.0,10.0,0.0
"(7.0, 10.0]",Asia,False,9042.0,722.0,3097.0,722.0,3097.0,2550.205209711352
"(7.0, 10.0]",Asia-London,False,1429.0,102.0,524.0,102.0,524.0,450.5444378682718
"(7.0, 10.0]",London,False,8389.0,587.0,2808.0,589.0,2806.0,2538.830515828575
"(7.0, 10.0]",London-NY,False,1675.0,241.0,780.0,246.0,775.0,516.5215928234368
"(7.0, 10.0]",London-NY,True,37.0,16.0,21.0,21.0,16.0,0.0
"(7.0, 10.0]",NY,False,3563.0,171.0,1121.0,171.0,1121.0,991.0758764677387
"(7.0, 10.0]",NY-Asia,False,3791.0,181.0,1032.0,181.0,1032.0,1028.4917749110919
"(7.0, 10.0]",NY-Asia,True,17.0,9.0,7.0,9.0,7.0,1.7327572828420668
"(10.0, 14.0]",Asia,False,7729.0,486.0,2432.0,486.0,2432.0,2180.2697183992773
"(10.0, 14.0]",Asia-London,False,1271.0,50.0,358.0,50.0,358.0,455.4637671880921
"(10.0, 14.0]",London,False,5839.0,357.0,1758.0,357.0,1758.0,1543.6496340532005
"(10.0, 14.0]",London-NY,False,2268.0,251.0,1080.0,252.0,1079.0,657.9561247821297
"(10.0, 14.0]",London-NY,True,79.0,23.0,37.0,24.0,36.0,12.25611686582997
"(10.0, 14.0]",NY,False,5079.0,255.0,1532.0,256.0,1531.0,1503.2342158552
"(10.0, 14.0]",NY-Asia,False,2371.0,99.0,662.0,101.0,660.0,670.089437566226
"(10.0, 14.0]",NY-Asia,True,15.0,0.0,15.0,0.0,15.0,0.0
"(14.0, inf]",Asia,False,7719.0,495.0,2296.0,499.0,2292.0,2067.9207560645527
"(14.0, inf]",Asia-London,False,1011.0,58.0,245.0,58.0,245.0,313.16605043163355
"(14.0, inf]",London,False,3737.0,172.0,1165.0,173.0,1164.0,979.6428426036751
"(14.0, inf]",London-NY,False,2662.0,205.0,1056.0,208.0,1053.0,862.9359834197933
"(14.0, inf]",London-NY,True,121.0,21.0,64.0,21.0,64.0,18.061512486680822
"(14.0, inf]",NY,False,9185.0,492.0,2921.0,497.0,2916.0,2809.666812991029
"(14.0, inf]",NY-Asia,False,2199.0,166.0,599.0,166.0,599.0,474.38703800314823
"(14.0, inf]",NY-Asia,True,37.0,4.0,26.0,4.0,26.0,5.065499450752995
