instrument,bucket,phase,vol_state,side,target_atr,stop_atr,horizon,n,target,stop,target_max,stop_min,open_pnl,cost_atr,p_target,p_target_max,p_stop,p_neither,ev_barrier,ev_open,ev_lo,ev_hi,cost,p_null,ev_null,ev_delta,lift,mde,thin,beats_mde,passes,undecided,ev_mirror,ev_sym
GC,"(14.0, inf]",London-NY,CONTRACTING,-1,3.0,1.5,60,118,49,42,49,42,23.34851322026266,1.9944262608986256,0.4152542372881356,0.4152542372881356,0.3559322033898305,0.2288135593220339,0.711864406779661,0.19786875610392085,0.8928312454183394,0.8928312454183392,0.01690191746524259,0.16245761021344504,-0.0292249993579389,0.9220562447762782,0.2527966270746905,0.2631283650216528,True,True,False,False,-0.6127295561731328,0.14005084462260325
GC,"(14.0, inf]",London-NY,CONTRACTING,-1,4.0,1.0,60,118,26,57,26,57,53.15645082161419,1.9944262608986256,0.22033898305084745,0.22033898305084745,0.4830508474576271,0.29661016949152547,0.3983050847457627,0.4504783967933406,0.8318815640738607,0.8318815640738607,0.01690191746524259,0.07995212447636146,-0.03659736859607487,0.8684789326699356,0.140386858574486,0.15708022437093233,True,True,False,False,-0.5378514229835821,0.1470150705451393
GC,"(14.0, inf]",London-NY,CONTRACTING,-1,4.0,1.5,60,118,27,47,27,47,60.638204301989674,1.9944262608986256,0.2288135593220339,0.2288135593220339,0.3983050847457627,0.37288135593220334,0.3177966101694915,0.5138830873049972,0.8147777800092462,0.8147777800092462,0.01690191746524259,0.09168162776780371,-0.035344386496932084,0.8501221665061782,0.1371319315542302,0.17305878359675297,True,True,False,False,-0.5735465892892068,0.1206155953600197
GC,"(14.0, inf]",London-NY,CONTRACTING,-1,3.0,1.0,60,118,43,55,44,54,21.306487511245773,1.9944262608986256,0.3644067796610169,0.3728813559322034,0.4661016949152542,0.16949152542372892,0.6271186440677966,0.18056345348513367,0.7907801800876878,0.8246784851724335,0.01690191746524259,0.14023538799122282,-0.03411281158094829,0.824892991668636,0.2241713916697941,0.23577381329000752,True,True,False,False,-0.5378514229835821,0.12646437855205284
GC,"(0.0, 7.0]",Asia-London,CONTRACTING,-1,3.0,1.5,60,107,41,40,41,40,25.925091264082486,7.1571529313375715,0.38317757009345793,0.38317757009345793,0.37383177570093457,0.24299065420560756,0.5887850467289719,0.24229057256151856,0.7641863395583636,0.7641863395583636,0.06688927973212684,0.20125660316952138,-0.07264333991341992,0.8368296794717835,0.18192096692393656,0.31502020335410524,True,True,False,False,-0.739546246802627,0.012320046377868266
GC,"(14.0, inf]",London-NY,CONTRACTING,-1,3.0,1.5,30,118,34,34,34,34,39.06160330432028,1.9944262608986256,0.288135593220339,0.288135593220339,0.288135593220339,0.423728813559322,0.4322033898305085,0.3310305364772905,0.7463320088425563,0.7463320088425563,0.01690191746524259,0.0903538497911577,-0.01826124818271766,0.764593257025274,0.1977817434291813,0.17127001272293052,True,True,False,False,-0.5599223526093701,0.09320482811659314
GC,"(14.0, inf]",London-NY,CONTRACTING,-1,4.0,0.75,60,118,23,67,23,67,43.580253674578195,1.9944262608986256,0.19491525423728814,0.19491525423728814,0.5677966101694916,0.23728813559322026,0.3538135593220339,0.36932418368286607,0.7062358255396574,0.7062358255396572,0.01690191746524259,0.0701376421304608,-0.026250023541848865,0.7324858490815063,0.12477761210682735,0.14336722151987685,True,True,False,False,-0.40381323720171874,0.1512112941689693
GC,"(14.0, inf]",London-NY,CONTRACTING,-1,4.0,1.5,30,118,15,36,15,36,75.81377245780064,1.9944262608986256,0.1271186440677966,0.1271186440677966,0.3050847457627119,0.5677966101694916,0.05084745762711865,0.6424895971000054,0.6764351372618815,0.6764351372618814,0.01690191746524259,0.04464496808259122,-0.021053786887502486,0.697488924149384,0.08247367598520539,0.10573164243369404,True,True,False,False,-0.537472680716765,0.06948122827255826
GC,"(0.0, 7.0]",Asia-London,CONTRACTING,-1,3.0,1.0,60,107,38,55,38,55,19.253540002707343,7.1571529313375715,0.35514018691588783,0.35514018691588783,0.514018691588785,0.13084112149532712,0.5514018691588785,0.17993962619352658,0.6644522156202781,0.6644522156202781,0.06688927973212684,0.17376340643508884,-0.05585362866472293,0.720305844285001,0.181376780480799,0.2821752028529854,True,True,False,False,-0.49152989420103416,0.08646116070962198
GC,"(14.0, inf]",London-NY,CONTRACTING,-1,4.0,1.0,30,118,14,49,14,49,69.75826892811276,1.9944262608986256,0.11864406779661017,0.11864406779661017,0.4152542372881356,0.4661016949152542,0.059322033898305086,0.5911717705772267,0.6335918870102892,0.6335918870102892,0.01690191746524259,0.03932539995271495,-0.025702674902382386,0.6592945619126717,0.07931866784389521,0.09736344068085817,True,True,False,False,-0.46215339503493474,0.08571924598767725
GC,"(14.0, inf]",London-NY,CONTRACTING,-1,3.0,1.0,30,118,29,49,30,48,38.382574696591014,1.9944262608986256,0.2457627118644068,0.2542372881355932,0.4152542372881356,0.3389830508474576,0.3220338983050847,0.3252760567507713,0.6304080375906135,0.6643063426753592,0.01690191746524259,0.08129088186618331,-0.022605617550618122,0.6530136551412316,0.16447182999822346,0.15892509373993607,True,True,False,False,-0.46765391438516696,0.08137706160272326
GC,"(14.0, inf]",London-NY,CONTRACTING,-1,2.0,1.5,60,118,69,42,69,42,0.577173156750163,1.9944262608986256,0.5847457627118644,0.5847457627118644,0.3559322033898305,0.05932203389830509,0.635593220338983,0.004891297938560703,0.6235826008123012,0.6235826008123011,0.01690191746524259,0.28992619190105723,-0.03718665473860989,0.6607692555509111,0.2948195708108072,0.40989654577563983,True,True,False,False,-0.560072882983346,0.0317548589144776
GC,"(14.0, inf]",London-NY,CONTRACTING,-1,3.0,0.75,60,118,35,66,35,66,18.636310960815727,1.9944262608986256,0.2966101694915254,0.2966101694915254,0.559322033898305,0.14406779661016955,0.4703389830508475,0.15793483865098074,0.6113719042365857,0.6113719042365856,0.01690191746524259,0.1230001994813485,-0.023462950447618317,0.6348348546842041,0.17360997001017692,0.21403756657952894,True,True,False,False,-0.39957594906612554,0.10589797758523009
GC,"(0.0, 7.0]",Asia-London,CONTRACTING,-1,4.0,1.5,60,107,25,44,25,44,36.482838150896306,7.1571529313375715,0.2336448598130841,0.2336448598130841,0.411214953271028,0.35514018691588783,0.3177570093457944,0.3409611042139842,0.5918288338276517,0.5918288338276516,0.06688927973212684,0.11161357451576757,-0.08146906892543507,0.6732979027530868,0.12203128529731654,0.20406872857264088,True,True,False,False,-0.7717824723937032,-0.08997681928302576
GC,"(0.0, 7.0]",Asia-London,CONTRACTING,-1,3.0,0.75,60,107,34,62,34,62,14.056678588161535,7.1571529313375715,0.3177570093457944,0.3177570093457944,0.5794392523364486,0.10280373831775702,0.5186915887850467,0.13137082792674332,0.5831731369796632,0.5831731369796631,0.06688927973212684,0.1498319193212742,-0.05177806568453901,0.6349512026642022,0.16792509002452016,0.252819966031328,True,True,False,False,-0.3433568327092145,0.11990815213522435
GC,"(0.0, 7.0]",Asia-London,CONTRACTING,-1,2.0,1.5,60,107,64,39,64,39,-0.18746483543293435,7.1571529313375715,0.5981308411214953,0.5981308411214953,0.3644859813084112,0.03738317757009352,0.6495327102803738,-0.0017520078077844332,0.5808914227404626,0.5808914227404626,0.06688927973212684,0.35152873379222027,-0.07307829063578236,0.653969713376245,0.246602107329275,0.48265081524617914,True,True,False,False,-0.5144129776822716,0.0332392225290955
GC,"(0.0, 7.0]",Asia-London,CONTRACTING,-1,3.0,1.5,30,107,25,30,25,30,39.228640788111726,7.1571529313375715,0.2336448598130841,0.2336448598130841,0.2803738317757009,0.48598130841121495,0.2803738317757009,0.3666228111038479,0.5801073631474221,0.5801073631474221,0.06688927973212684,0.09644069736390341,-0.07140687740491619,0.6515142405523382,0.1372041624491807,0.18389285854898646,True,True,False,False,-0.5393272448985479,0.020390059124437088
GC,"(14.0, inf]",London-NY,CONTRACTING,-1,2.0,1.0,60,118,61,54,62,53,0.8484104079889374,1.9944262608986256,0.5169491525423728,0.5254237288135594,0.4576271186440678,0.025423728813559365,0.576271186440678,0.007189918711770656,0.566559187687206,0.5919829165007653,0.01690191746524259,0.2513066028326352,-0.039689790738562394,0.6062489784257684,0.26564254970973766,0.3669116399609129,True,True,False,False,-0.47006998207437484,0.0482446028064156
GC,"(14.0, inf]",London-NY,CONTRACTING,-1,4.0,0.75,30,118,14,60,14,60,54.34568607265449,1.9944262608986256,0.11864406779661017,0.11864406779661017,0.5084745762711864,0.3728813559322034,0.09322033898305085,0.4605566616326651,0.5368750831504734,0.5368750831504734,0.01690191746524259,0.035621404365986285,-0.021986301386771,0.5588613845372444,0.0830226634306239,0.09138898254565374,True,True,False,False,-0.39119853750499656,0.07283827282273841
