month,side,horizon,legs,unorderable,mfe_first,mae_first,tape_unresolved
2025-01,1,15,5976,621,328,293,0
2025-01,1,30,5910,107,73,34,0
2025-01,1,60,5778,22,17,5,0
2025-01,-1,15,5976,621,293,328,0
2025-01,-1,30,5910,107,34,73,0
2025-01,-1,60,5778,22,5,17,0
2025-02,1,15,5430,602,306,296,0
2025-02,1,30,5370,123,67,56,0
2025-02,1,60,5250,27,17,10,0
2025-02,-1,15,5430,602,296,306,0
2025-02,-1,30,5370,123,56,67,0
2025-02,-1,60,5250,27,10,17,0
2025-03,1,15,5754,542,249,293,0
2025-03,1,30,5688,108,50,58,0
2025-03,1,60,5556,14,12,2,0
2025-03,-1,15,5754,542,293,249,0
2025-03,-1,30,5688,108,58,50,0
2025-03,-1,60,5556,14,2,12,0
2025-04,1,15,5730,579,282,297,0
2025-04,1,30,5664,88,46,42,0
2025-04,1,60,5532,10,6,4,0
2025-04,-1,15,5730,579,297,282,0
2025-04,-1,30,5664,88,42,46,0
2025-04,-1,60,5532,10,4,6,0
2025-05,1,15,5952,561,273,288,0
2025-05,1,30,5886,96,47,49,0
2025-05,1,60,5754,29,4,25,0
2025-05,-1,15,5952,561,288,273,0
2025-05,-1,30,5886,96,49,47,0
2025-05,-1,60,5754,29,25,4,0
2025-06,1,15,5724,612,332,280,0
2025-06,1,30,5658,104,61,43,0
2025-06,1,60,5526,11,8,3,0
2025-06,-1,15,5724,612,280,332,0
2025-06,-1,30,5658,104,43,61,0
2025-06,-1,60,5526,11,3,8,0
2025-07,1,15,6228,614,311,303,0
2025-07,1,30,6156,108,55,53,0
2025-07,1,60,6012,16,9,7,0
2025-07,-1,15,6228,614,303,311,0
2025-07,-1,30,6156,108,53,55,0
2025-07,-1,60,6012,16,7,9,0
2025-08,1,15,5730,602,326,276,0
2025-08,1,30,5664,100,57,43,0
2025-08,1,60,5532,19,15,4,0
2025-08,-1,15,5730,602,276,326,0
2025-08,-1,30,5664,100,43,57,0
2025-08,-1,60,5532,19,4,15,0
2025-09,1,15,5973,594,305,289,0
2025-09,1,30,5904,102,61,41,0
2025-09,1,60,5766,9,6,3,0
2025-09,-1,15,5973,594,289,305,0
2025-09,-1,30,5904,102,41,61,0
2025-09,-1,60,5766,9,3,6,0
2025-10,1,15,6255,656,335,321,0
2025-10,1,30,6186,126,67,59,0
2025-10,1,60,6048,25,11,14,0
2025-10,-1,15,6255,656,321,335,0
2025-10,-1,30,6186,126,59,67,0
2025-10,-1,60,6048,25,14,11,0
2025-11,1,15,5283,519,257,262,0
2025-11,1,30,5220,96,53,43,0
2025-11,1,60,5094,12,8,4,0
2025-11,-1,15,5283,519,262,257,0
2025-11,-1,30,5220,96,43,53,0
2025-11,-1,60,5094,12,4,8,0
2025-12,1,15,5955,588,301,287,0
2025-12,1,30,5889,116,71,45,0
2025-12,1,60,5757,24,16,8,0
2025-12,-1,15,5955,588,287,301,0
2025-12,-1,30,5889,116,45,71,0
2025-12,-1,60,5757,24,8,16,0
2026-01,1,15,5703,610,327,283,0
2026-01,1,30,5640,116,77,39,0
2026-01,1,60,5514,40,38,2,0
2026-01,-1,15,5703,610,283,327,0
2026-01,-1,30,5640,116,39,77,0
2026-01,-1,60,5514,40,2,38,0
2026-02,1,15,5409,576,302,274,0
2026-02,1,30,5349,129,78,51,0
2026-02,1,60,5229,22,18,4,0
2026-02,-1,15,5409,576,274,302,0
2026-02,-1,30,5349,129,51,78,0
2026-02,-1,60,5229,22,4,18,0
2026-03,1,15,6027,574,298,276,0
2026-03,1,30,5958,122,78,44,0
2026-03,1,60,5820,29,26,3,0
2026-03,-1,15,6027,574,276,298,0
2026-03,-1,30,5958,122,44,78,0
2026-03,-1,60,5820,29,3,26,0
2026-04,1,15,5730,603,330,273,0
2026-04,1,30,5664,112,62,50,0
2026-04,1,60,5532,19,11,8,0
2026-04,-1,15,5730,603,273,330,0
2026-04,-1,30,5664,112,50,62,0
2026-04,-1,60,5532,19,8,11,0
2026-05,1,15,5700,550,273,277,0
2026-05,1,30,5634,120,72,48,0
2026-05,1,60,5502,19,15,4,0
2026-05,-1,15,5700,550,277,273,0
2026-05,-1,30,5634,120,48,72,0
2026-05,-1,60,5502,19,4,15,0
2026-06,1,15,5955,560,276,284,0
2026-06,1,30,5886,99,41,58,0
2026-06,1,60,5748,15,2,13,0
2026-06,-1,15,5955,560,284,276,0
2026-06,-1,30,5886,99,58,41,0
2026-06,-1,60,5748,15,13,2,0
2026-07,1,15,6207,679,313,366,0
2026-07,1,30,6138,139,48,91,0
2026-07,1,60,6000,29,4,25,0
2026-07,-1,15,6207,679,366,313,0
2026-07,-1,30,6138,139,91,48,0
2026-07,-1,60,6000,29,25,4,0
